rainfall_mm,aqi,traffic_disruption,temperature_c,flood_history_score,visibility_km,humidity_pct,wind_speed_kmh,month,risk_level
14.0,63,0.035,15.4,2,3.8,42.0,13.7,10,MEDIUM
2.8,71,0.574,44.0,2,4.3,55.9,5.5,10,MEDIUM
1.0,82,0.254,24.2,1,8.9,78.6,11.4,4,LOW
44.6,96,0.101,33.7,3,6.1,75.1,2.9,5,MEDIUM
50.6,156,0.271,21.5,1,7.4,80.7,1.0,1,LOW
24.8,63,0.089,27.9,0,3.2,80.9,16.5,4,LOW
5.4,101,0.453,28.5,0,9.9,30.2,12.6,4,LOW
1.5,87,0.378,33.4,0,3.2,77.9,1.2,9,LOW
17.3,43,0.391,25.0,0,2.0,77.9,13.1,5,LOW
8.7,82,0.29,47.9,0,7.9,34.3,9.1,3,MEDIUM
2.0,80,0.346,32.2,1,8.5,59.9,1.9,10,LOW
10.3,79,0.226,39.0,2,4.2,35.5,17.5,8,MEDIUM
0.5,92,0.412,31.9,1,5.6,43.4,12.0,10,LOW
36.0,96,0.404,40.0,1,4.4,64.3,7.1,10,LOW
4.5,64,0.297,15.2,0,3.3,30.8,2.0,7,LOW
16.3,249,0.522,26.4,0,8.2,36.6,7.8,8,LOW
5.6,35,0.452,27.8,0,7.7,35.9,1.8,4,LOW
11.0,51,0.119,27.8,1,5.1,38.7,2.0,7,LOW
11.9,500,0.123,36.1,1,4.8,33.5,2.8,11,MEDIUM
3.1,39,0.093,36.7,0,2.2,72.8,10.6,4,LOW
52.4,30,0.16,31.4,0,6.6,42.5,11.4,9,LOW
22.4,162,0.344,31.6,1,9.3,90.4,0.8,5,LOW
42.1,30,0.692,50.0,2,7.3,91.9,10.5,5,MEDIUM
33.8,75,0.288,34.6,0,5.3,78.4,0.4,4,LOW
13.7,500,0.314,15.0,0,0.9,34.5,23.5,5,MEDIUM
38.2,30,0.381,38.2,2,9.3,92.4,15.1,1,MEDIUM
1.4,30,0.351,36.5,1,3.4,59.3,12.9,11,LOW
3.3,30,0.171,41.3,2,3.3,42.7,2.7,12,LOW
0.7,185,0.208,36.8,0,5.0,84.5,43.9,1,LOW
5.9,221,0.367,24.8,2,4.6,54.3,25.8,9,LOW
7.4,60,0.215,39.1,0,9.6,65.4,6.7,2,LOW
4.7,155,0.224,32.8,1,2.1,82.0,0.4,8,LOW
26.5,274,0.215,40.4,0,7.0,37.1,7.2,11,LOW
6.6,376,0.397,44.4,0,1.5,41.9,1.7,2,MEDIUM
4.9,74,0.138,31.0,1,3.1,97.8,9.0,9,LOW
11.7,30,0.204,39.0,1,7.4,79.9,43.1,2,LOW
2.3,47,0.643,40.3,1,8.1,46.2,14.1,1,LOW
24.3,64,0.404,33.3,1,5.0,70.2,3.9,8,LOW
1.2,73,0.141,47.7,0,8.0,43.2,5.0,3,MEDIUM
65.0,77,0.32,40.4,1,9.4,90.6,28.9,7,MEDIUM
22.2,220,0.151,27.3,0,9.4,61.4,1.2,5,LOW
3.3,250,0.67,34.1,2,3.8,86.5,22.1,7,MEDIUM
0.1,78,0.123,38.9,1,3.5,98.0,0.8,8,LOW
25.3,217,0.136,47.4,1,7.4,98.7,5.4,3,MEDIUM
18.4,120,0.377,37.0,0,6.7,39.6,13.7,5,LOW
19.6,95,0.18,34.3,0,4.2,96.1,5.0,5,LOW
22.1,186,0.512,42.1,0,2.7,48.9,8.5,7,LOW
1.2,95,0.332,30.2,0,6.4,55.2,6.7,11,LOW
6.7,467,0.498,24.1,3,4.6,34.4,9.3,2,MEDIUM
1.8,30,0.122,37.6,3,1.8,75.2,1.9,8,MEDIUM
29.8,60,0.115,29.0,1,6.6,75.1,8.6,7,LOW
14.6,81,0.3,50.0,0,7.1,84.4,43.6,12,MEDIUM
6.0,128,0.406,34.0,3,4.0,96.2,2.2,10,LOW
1.0,248,0.061,37.7,2,8.4,60.0,0.7,7,LOW
5.6,88,0.399,27.0,0,1.2,58.5,5.0,5,LOW
5.9,30,0.352,42.1,1,5.2,74.7,4.7,8,LOW
19.6,177,0.376,31.8,1,9.6,76.7,1.3,1,LOW
15.2,165,0.179,31.0,0,2.3,61.2,8.5,12,LOW
32.7,30,0.521,31.2,0,2.1,94.4,5.8,7,LOW
9.6,90,0.083,21.7,1,4.1,33.7,18.1,11,LOW
1.9,30,0.322,30.0,0,3.0,82.9,5.5,9,LOW
18.7,53,0.396,36.4,0,2.6,44.6,42.4,8,LOW
21.5,44,0.13,19.6,0,9.5,64.7,15.1,4,LOW
12.4,172,0.058,40.2,3,3.8,89.6,6.7,8,MEDIUM
22.1,99,0.582,29.9,2,1.1,53.1,8.0,12,MEDIUM
10.2,32,0.426,34.0,1,9.0,93.0,20.2,12,LOW
11.1,182,0.4,15.0,1,4.8,61.5,14.9,8,LOW
8.4,30,0.25,33.8,1,7.5,79.2,10.7,1,LOW
0.4,117,0.31,23.7,1,4.0,80.6,3.1,1,LOW
1.7,47,0.281,29.2,0,9.4,48.3,5.3,11,LOW
0.5,67,0.436,19.5,2,3.2,93.0,15.5,9,LOW
15.2,135,0.276,24.9,0,6.8,38.7,9.9,1,LOW
5.7,137,0.133,30.7,1,8.3,71.3,31.3,10,LOW
10.7,262,0.126,29.8,2,2.8,95.0,20.6,3,MEDIUM
35.7,84,0.512,39.1,0,8.1,32.2,5.6,3,LOW
4.3,115,0.082,17.1,2,8.0,67.2,3.5,4,LOW
7.9,63,0.391,31.6,0,9.7,47.3,1.3,12,LOW
21.1,104,0.185,31.2,3,9.3,43.5,5.2,3,MEDIUM
3.9,128,0.039,28.3,1,4.2,46.4,2.6,3,LOW
1.2,83,0.398,24.7,3,6.1,93.2,0.2,5,LOW
5.1,30,0.359,40.8,1,9.3,59.8,1.5,5,LOW
2.6,117,0.257,48.4,0,0.5,46.5,6.0,8,MEDIUM
39.8,120,0.188,18.3,3,6.5,94.9,22.3,7,MEDIUM
24.8,52,0.568,24.6,1,2.5,52.5,3.9,12,LOW
15.1,32,0.285,24.0,1,7.5,80.6,5.8,9,LOW
30.8,293,0.224,29.7,1,8.1,67.6,4.8,12,LOW
24.4,133,0.112,42.0,0,7.3,77.5,4.6,5,LOW
3.1,75,0.119,36.2,1,10.0,42.8,12.8,4,LOW
33.5,36,0.402,30.8,0,5.1,77.5,7.1,12,LOW
11.6,47,0.221,32.1,2,5.8,93.4,5.2,4,MEDIUM
24.7,255,0.011,29.4,0,4.4,37.1,28.7,2,LOW
34.0,100,0.17,37.9,1,9.8,52.9,3.2,9,LOW
5.7,58,0.451,38.9,2,9.3,98.1,17.9,7,LOW
1.7,135,0.373,36.7,0,9.9,45.8,7.2,11,LOW
3.9,47,0.191,15.0,0,9.9,34.2,5.8,2,LOW
8.4,299,0.653,32.1,0,9.0,33.9,0.7,10,MEDIUM
25.6,266,0.107,30.5,1,9.3,49.3,19.6,8,LOW
29.6,62,0.091,39.9,0,1.6,64.6,3.2,2,LOW
0.1,54,0.082,33.9,3,2.1,48.8,11.4,2,MEDIUM
10.7,30,0.154,36.5,1,8.9,49.7,20.8,4,LOW
8.1,30,0.376,28.0,1,7.4,88.2,7.7,7,LOW
3.8,31,0.185,39.5,3,8.8,83.7,10.2,10,MEDIUM
1.9,100,0.24,41.9,0,7.8,51.8,4.2,9,LOW
6.2,69,0.057,19.0,1,1.8,54.1,13.0,5,LOW
42.9,31,0.511,21.6,1,9.2,97.9,10.7,3,LOW
5.9,72,0.458,38.1,0,7.8,96.5,5.9,6,LOW
11.0,135,0.227,30.6,3,5.9,98.1,10.1,9,MEDIUM
18.2,137,0.226,40.2,2,5.6,95.7,3.0,2,MEDIUM
6.8,30,0.268,33.9,2,6.0,74.0,10.7,7,MEDIUM
53.5,81,0.308,37.5,3,4.2,51.6,11.2,10,LOW
49.2,30,0.288,26.0,1,8.1,97.9,5.9,11,LOW
4.4,185,0.307,34.7,2,9.1,82.0,2.9,10,MEDIUM
10.3,169,0.237,34.7,1,2.9,79.8,16.2,4,LOW
5.4,44,0.12,26.5,3,0.9,85.8,14.0,6,LOW
5.0,49,0.31,40.0,0,2.4,71.9,0.6,4,LOW
0.6,62,0.202,16.8,0,7.7,70.8,6.8,2,LOW
14.1,30,0.278,33.7,0,8.7,55.3,1.0,5,LOW
10.5,118,0.081,21.6,0,3.8,40.6,3.9,3,LOW
0.8,72,0.211,23.8,1,1.9,60.7,5.5,10,LOW
4.9,196,0.154,39.9,0,8.7,66.2,1.9,3,LOW
35.8,37,0.375,23.2,0,2.5,91.4,6.3,10,LOW
4.1,55,0.291,22.9,0,2.8,58.1,12.2,3,LOW
2.3,30,0.167,36.6,1,1.4,91.8,5.7,2,LOW
10.1,40,0.182,23.1,0,9.1,52.2,2.7,4,LOW
63.7,35,0.336,40.1,1,3.6,96.1,5.4,7,MEDIUM
4.2,200,0.323,37.2,0,2.1,32.7,9.0,2,LOW
16.7,51,0.262,25.8,1,9.6,66.8,27.6,4,LOW
21.5,99,0.352,39.8,0,3.7,52.5,6.9,5,LOW
4.1,66,0.473,16.5,0,7.6,50.6,21.9,10,LOW
19.5,33,0.153,35.8,0,2.7,35.6,41.7,3,LOW
6.9,79,0.074,22.0,2,7.4,77.7,8.2,5,MEDIUM
15.0,145,0.368,27.8,2,2.7,57.5,1.6,12,MEDIUM
15.1,34,0.178,28.3,3,6.6,96.4,20.8,5,LOW
11.5,172,0.357,42.3,1,4.7,79.9,19.8,2,LOW
1.4,46,0.388,28.0,0,8.1,61.0,20.3,1,LOW
27.1,61,0.309,31.4,3,7.4,73.9,30.1,2,LOW
5.8,138,0.171,28.5,0,9.4,34.6,3.2,12,LOW
3.1,53,0.03,24.1,0,4.1,71.2,4.1,5,LOW
0.6,93,0.104,23.8,2,7.7,76.6,11.6,8,LOW
13.4,70,0.128,34.5,0,9.7,37.4,8.3,1,LOW
17.0,100,0.335,31.8,2,3.7,77.8,20.3,6,LOW
0.3,30,0.524,38.1,0,3.3,63.2,2.9,3,LOW
10.8,30,0.132,30.1,0,7.8,63.6,10.7,5,LOW
3.9,147,0.295,30.3,1,4.7,80.7,28.2,10,LOW
15.5,206,0.213,38.1,0,4.3,61.5,2.4,11,LOW
2.9,43,0.146,29.0,2,5.7,46.4,3.7,1,LOW
17.6,74,0.396,20.5,2,9.4,50.9,5.2,5,LOW
7.3,114,0.46,38.8,0,1.3,81.7,0.9,10,LOW
41.4,157,0.303,26.6,1,4.9,35.0,1.9,2,LOW
2.2,30,0.373,32.5,2,1.5,88.9,4.8,9,MEDIUM
6.3,44,0.297,27.0,2,8.9,70.8,0.8,3,MEDIUM
1.8,69,0.253,24.2,0,1.8,80.9,4.5,11,LOW
38.8,158,0.493,16.8,2,1.4,54.1,2.8,10,LOW
31.5,500,0.114,34.7,3,9.7,45.6,20.0,11,MEDIUM
4.5,75,0.121,15.0,0,5.9,86.3,9.4,11,LOW
16.2,30,0.029,42.4,3,8.3,37.2,22.9,10,LOW
25.5,124,0.332,40.3,2,5.0,41.6,2.3,5,LOW
12.2,259,0.371,24.7,2,4.6,49.9,0.9,5,LOW
11.3,98,0.273,44.7,1,9.2,54.6,4.4,3,LOW
4.2,44,0.321,48.5,1,9.9,44.3,0.6,10,MEDIUM
1.5,194,0.15,29.8,0,6.4,93.9,21.5,5,LOW
34.1,153,0.2,35.3,2,9.2,31.9,2.1,5,LOW
34.6,40,0.222,33.1,1,8.7,86.2,1.5,8,LOW
15.0,122,0.121,44.1,1,5.7,58.8,15.5,8,LOW
6.2,200,0.125,20.9,1,9.4,88.5,12.5,6,LOW
6.4,232,0.297,30.2,1,2.5,85.7,0.6,2,LOW
19.4,85,0.14,39.4,2,8.9,38.5,7.1,9,MEDIUM
34.1,68,0.354,38.5,2,3.4,76.6,6.0,6,LOW
32.7,240,0.494,31.7,2,0.8,56.5,4.9,7,LOW
22.7,34,0.217,43.1,0,8.0,87.5,1.4,11,LOW
15.4,128,0.27,33.9,3,9.3,89.6,15.5,7,LOW
1.3,30,0.08,32.9,1,2.6,43.2,2.7,11,LOW
2.6,211,0.112,37.6,0,5.6,63.5,6.1,5,LOW
34.3,73,0.088,31.5,0,7.6,71.6,21.3,10,LOW
14.0,248,0.293,32.4,3,3.7,68.1,3.8,4,LOW
0.1,133,0.379,25.7,1,1.9,47.6,0.4,7,LOW
1.6,34,0.145,50.0,0,4.2,49.1,22.0,6,MEDIUM
16.3,281,0.446,28.2,1,4.8,90.1,6.8,7,LOW
0.1,311,0.496,37.8,0,7.6,32.3,6.9,4,MEDIUM
2.6,182,0.239,47.3,3,2.4,48.4,8.0,2,MEDIUM
11.9,49,0.29,21.3,1,8.2,45.6,2.0,10,LOW
17.7,70,0.25,36.9,1,5.3,55.9,12.5,9,LOW
15.8,101,0.277,32.2,2,9.1,78.0,2.6,7,MEDIUM
3.8,51,0.039,46.4,0,5.9,67.3,3.6,4,MEDIUM
18.7,349,0.236,24.7,0,4.7,67.8,10.0,2,MEDIUM
4.1,101,0.019,26.0,2,3.2,81.2,13.9,8,LOW
5.9,30,0.431,31.6,3,1.5,86.9,13.1,8,MEDIUM
20.6,118,0.422,28.1,0,4.0,41.2,0.9,10,LOW
15.7,68,0.218,28.3,2,4.4,37.6,14.0,8,LOW
28.4,85,0.53,48.2,1,5.9,51.1,10.9,3,MEDIUM
16.1,67,0.601,33.0,0,8.7,87.9,9.3,12,MEDIUM
12.6,172,0.205,25.7,0,4.9,67.9,34.1,10,LOW
1.5,220,0.393,28.9,0,3.5,40.0,4.3,4,LOW
6.9,113,0.509,35.2,0,8.8,41.5,11.5,2,LOW
4.6,69,0.175,34.7,0,7.5,92.9,8.5,7,LOW
4.2,87,0.081,27.4,0,3.4,55.7,4.9,12,LOW
54.2,91,0.293,19.0,2,2.1,47.9,15.5,7,LOW
7.5,47,0.306,31.6,1,3.3,78.6,5.2,1,LOW
33.4,143,0.303,31.4,2,1.7,90.3,8.2,9,LOW
15.0,130,0.184,26.8,0,9.1,61.0,8.2,9,LOW
23.8,309,0.206,42.2,0,6.3,85.4,7.2,5,MEDIUM
10.5,246,0.05,36.6,1,8.7,60.1,6.1,7,LOW
12.9,52,0.273,33.1,0,8.3,78.4,1.8,10,LOW
10.2,174,0.538,29.1,2,2.0,70.2,2.8,8,MEDIUM
3.3,42,0.364,45.9,1,4.7,92.6,1.3,3,MEDIUM
19.2,157,0.071,22.8,3,9.7,52.8,12.9,7,MEDIUM
4.9,60,0.155,28.0,0,2.7,83.9,13.6,5,LOW
0.4,40,0.18,28.4,0,1.0,77.9,10.2,4,LOW
15.6,113,0.437,34.4,1,3.8,88.7,25.0,10,LOW
2.9,30,0.626,37.3,0,5.4,72.5,3.1,2,MEDIUM
42.3,30,0.109,21.3,1,1.0,62.2,17.2,7,LOW
46.2,78,0.347,26.5,0,4.6,33.5,2.1,7,LOW
37.0,96,0.385,35.6,2,2.9,88.8,0.7,10,LOW
6.9,67,0.047,26.7,0,2.5,93.7,0.0,10,LOW
0.2,30,0.149,28.8,2,3.0,61.5,8.7,12,LOW
39.5,47,0.5,33.4,0,1.5,45.6,15.1,8,LOW
8.4,123,0.03,24.2,1,1.2,75.3,17.3,11,LOW
51.0,143,0.103,34.2,0,6.2,38.5,6.4,4,LOW
49.7,89,0.614,36.9,0,9.5,32.9,0.6,10,MEDIUM
28.8,227,0.315,32.3,2,8.1,50.3,0.4,2,LOW
5.2,124,0.149,43.4,2,8.4,77.6,24.9,11,LOW
7.3,50,0.192,37.8,2,7.5,87.0,1.0,3,MEDIUM
28.6,72,0.368,31.7,1,9.6,41.0,15.4,1,LOW
5.7,30,0.487,29.4,3,9.5,96.2,0.7,11,MEDIUM
2.8,83,0.477,46.0,0,7.9,68.6,2.0,12,MEDIUM
12.2,219,0.09,26.7,0,7.3,94.8,1.8,6,LOW
41.3,156,0.256,29.8,3,3.4,40.5,3.2,8,LOW
17.9,276,0.161,28.7,3,1.4,62.1,5.2,10,MEDIUM
12.7,71,0.144,35.2,1,1.4,60.2,1.3,12,LOW
1.5,264,0.251,50.0,0,7.5,58.8,36.2,12,MEDIUM
14.3,77,0.358,34.0,0,0.8,95.2,0.0,12,LOW
69.2,292,0.124,29.4,1,8.3,89.5,14.8,8,MEDIUM
2.3,88,0.134,33.5,2,4.0,85.6,7.5,4,LOW
11.0,159,0.229,21.5,0,2.3,50.0,0.9,4,LOW
31.5,293,0.514,30.5,1,4.4,53.7,1.3,12,LOW
20.3,77,0.304,45.6,0,7.2,48.2,8.9,10,MEDIUM
17.9,107,0.116,37.3,2,3.1,85.5,3.8,12,LOW
18.2,252,0.499,41.8,1,2.1,57.5,6.0,12,LOW
6.7,81,0.234,40.1,3,7.5,98.5,8.0,1,LOW
5.2,31,0.268,26.3,2,8.9,55.5,8.5,6,LOW
24.9,500,0.297,47.3,1,6.1,41.9,8.7,4,HIGH
24.9,62,0.147,17.8,0,5.5,95.1,0.7,9,LOW
30.3,102,0.115,34.7,1,7.7,84.8,13.5,2,LOW
36.7,227,0.029,15.5,0,7.5,70.8,3.5,8,LOW
10.7,55,0.022,18.3,3,0.6,90.1,1.2,7,LOW
10.4,40,0.373,39.5,0,3.2,96.5,1.1,8,LOW
24.0,110,0.211,26.5,2,9.4,90.3,2.7,2,MEDIUM
15.7,30,0.004,42.0,0,9.6,93.3,9.9,10,LOW
18.2,71,0.622,15.0,0,5.3,49.0,6.4,12,LOW
23.8,110,0.377,31.3,0,5.8,65.8,1.1,9,LOW
33.1,73,0.203,22.3,2,0.5,85.7,0.3,4,LOW
6.2,30,0.582,29.4,1,6.9,66.8,0.2,1,LOW
7.1,322,0.364,44.4,0,2.5,74.9,5.5,6,MEDIUM
1.5,98,0.241,46.3,0,1.7,94.6,15.5,4,MEDIUM
13.0,283,0.061,36.1,0,3.4,50.7,8.5,2,LOW
0.5,73,0.228,19.2,0,6.8,67.8,16.6,1,LOW
9.4,45,0.248,22.3,2,4.6,69.4,3.8,6,LOW
11.7,112,0.165,33.3,1,3.8,55.2,1.5,8,LOW
5.1,76,0.288,25.6,0,7.4,55.8,16.2,3,LOW
13.4,35,0.42,37.3,0,8.2,83.8,13.0,12,LOW
0.5,292,0.227,45.4,0,8.8,95.1,8.9,10,MEDIUM
0.6,55,0.064,24.1,2,4.7,74.4,21.9,8,LOW
25.9,30,0.128,24.8,2,7.3,64.2,10.0,9,MEDIUM
6.7,260,0.644,22.6,2,8.9,82.5,7.5,2,MEDIUM
2.0,60,0.049,30.0,2,9.1,99.8,7.0,4,MEDIUM
11.1,55,0.277,32.4,0,5.2,35.8,9.6,6,LOW
22.0,30,0.222,32.2,3,3.9,75.6,7.3,7,LOW
3.6,362,0.367,39.2,0,9.1,68.9,3.2,4,MEDIUM
14.6,32,0.251,35.1,2,3.0,72.7,30.8,4,LOW
1.3,94,0.225,31.5,0,8.1,31.6,31.7,7,LOW
0.8,187,0.46,32.3,0,9.1,96.9,1.8,7,LOW
11.4,126,0.36,32.7,1,7.5,36.0,7.6,7,LOW
11.7,86,0.246,31.5,0,7.0,51.5,15.6,5,LOW
15.2,30,0.279,26.6,0,1.0,50.9,0.6,4,LOW
19.4,47,0.546,22.4,0,2.4,81.3,1.3,6,LOW
55.9,105,0.267,33.1,1,6.8,77.0,7.9,7,LOW
10.9,48,0.477,28.0,2,8.0,34.3,0.3,10,MEDIUM
5.9,106,0.485,36.2,0,1.1,40.5,17.9,9,LOW
23.8,155,0.13,32.6,0,0.7,52.3,20.6,5,LOW
4.7,194,0.127,32.1,2,3.5,79.3,13.3,6,LOW
8.7,34,0.327,39.9,1,6.6,95.0,17.3,5,LOW
1.2,500,0.501,20.8,1,5.4,52.1,11.1,5,MEDIUM
0.4,166,0.163,46.2,3,0.6,66.8,1.5,3,MEDIUM
49.3,90,0.354,15.0,1,1.9,56.1,0.3,1,LOW
27.1,215,0.361,43.6,0,7.6,70.4,18.8,2,LOW
17.9,500,0.027,33.6,1,3.3,74.0,12.3,7,MEDIUM
7.9,30,0.384,27.8,2,1.6,66.3,5.1,11,LOW
2.9,75,0.169,20.2,1,1.0,57.2,15.9,12,LOW
2.6,30,0.272,27.2,1,8.6,91.6,0.5,4,LOW
4.3,105,0.052,30.7,1,5.0,86.1,3.8,11,LOW
12.0,121,0.173,33.6,1,5.3,99.9,4.2,10,LOW
18.8,87,0.252,43.6,0,1.1,58.9,1.1,3,LOW
16.2,53,0.3,32.6,0,5.1,32.7,13.5,12,LOW
4.9,30,0.198,34.6,1,6.6,75.6,15.0,4,LOW
46.5,121,0.238,34.8,0,1.7,84.8,8.8,8,LOW
20.1,288,0.358,29.4,2,9.1,95.6,5.4,7,MEDIUM
12.1,56,0.293,30.5,0,7.9,30.7,9.3,8,LOW
14.2,128,0.105,31.1,0,8.1,91.6,22.9,1,LOW
8.2,30,0.087,37.0,0,5.6,66.2,4.4,1,LOW
4.3,130,0.449,24.7,1,3.7,56.2,4.1,12,LOW
6.6,66,0.376,27.9,1,6.6,45.5,9.7,4,LOW
21.3,49,0.332,34.9,1,2.6,87.0,11.5,9,LOW
0.2,49,0.263,23.4,0,1.8,55.5,6.1,6,LOW
1.9,66,0.178,32.9,1,5.6,72.3,19.6,2,LOW
0.7,122,0.151,27.6,2,5.0,65.8,4.3,4,LOW
0.6,32,0.363,36.0,1,1.9,48.4,10.2,4,LOW
29.0,66,0.14,43.0,1,5.5,85.1,11.0,9,LOW
18.2,87,0.297,27.6,0,5.7,50.9,3.5,5,LOW
9.6,37,0.358,38.1,2,8.8,85.1,0.2,6,MEDIUM
1.5,379,0.109,33.6,1,7.7,58.7,17.5,3,MEDIUM
10.1,45,0.225,28.9,2,2.6,32.1,6.6,9,MEDIUM
9.6,53,0.362,32.1,1,8.3,83.7,1.0,4,LOW
2.9,41,0.244,42.4,0,9.7,92.9,31.6,9,LOW
8.5,379,0.048,30.6,0,7.3,38.4,3.5,4,MEDIUM
7.6,140,0.536,42.5,1,8.0,71.0,6.4,2,LOW
14.4,43,0.266,31.0,1,3.0,35.0,6.6,6,LOW
15.1,218,0.13,20.7,2,9.9,88.1,4.6,8,MEDIUM
0.7,106,0.539,30.8,0,2.2,99.2,1.6,5,LOW
7.0,111,0.089,20.1,0,7.6,64.6,12.2,2,LOW
14.7,68,0.356,29.5,0,4.3,51.9,2.2,1,LOW
10.5,49,0.294,29.2,3,3.9,89.2,11.5,5,MEDIUM
29.1,118,0.169,46.5,0,3.2,66.5,16.2,4,MEDIUM
16.1,58,0.089,44.9,0,4.7,61.4,0.2,10,LOW
2.7,385,0.453,32.7,1,8.0,45.9,13.2,9,MEDIUM
1.1,33,0.216,41.7,1,9.4,73.1,10.2,4,LOW
15.4,308,0.423,28.8,2,4.5,72.4,2.2,12,MEDIUM
0.4,82,0.033,20.6,0,6.7,48.4,9.7,7,LOW
13.2,114,0.452,36.2,0,8.0,44.8,5.5,12,LOW
42.3,175,0.482,34.9,0,1.4,60.7,0.9,12,LOW
12.9,54,0.343,24.5,1,9.6,61.6,7.4,6,LOW
7.4,180,0.175,24.9,0,2.5,39.0,36.2,2,LOW
15.5,30,0.219,39.5,0,9.2,49.3,10.5,4,LOW
9.2,51,0.297,18.5,2,9.9,41.2,4.0,3,MEDIUM
11.8,43,0.251,36.5,2,1.5,93.1,8.3,12,LOW
42.6,33,0.186,29.5,2,9.0,35.2,13.4,12,MEDIUM
7.3,76,0.477,36.5,2,6.6,91.5,1.7,6,LOW
48.7,123,0.137,39.9,0,8.3,67.0,7.5,11,LOW
35.4,158,0.492,25.0,0,1.5,76.6,7.1,7,LOW
3.3,109,0.191,22.9,2,8.4,94.6,4.7,5,MEDIUM
1.1,53,0.302,43.7,1,6.4,55.6,13.7,6,LOW
1.6,121,0.435,31.5,1,5.4,79.2,8.3,4,LOW
0.3,99,0.131,34.6,2,5.8,77.0,12.0,12,LOW
1.5,190,0.156,39.3,3,7.6,99.2,9.1,7,LOW
17.2,168,0.22,24.3,1,3.3,33.2,15.2,4,LOW
1.1,92,0.287,39.2,0,9.5,61.9,10.0,3,LOW
5.8,44,0.601,37.1,0,3.4,99.3,11.3,9,LOW
28.0,53,0.049,43.8,1,8.8,53.0,2.6,3,LOW
0.4,58,0.182,43.6,2,0.6,97.6,18.7,7,LOW
25.3,70,0.247,32.5,0,9.2,87.2,1.7,5,LOW
5.0,112,0.367,38.0,0,8.6,53.8,4.2,12,LOW
1.9,160,0.24,32.4,3,1.7,32.0,22.0,3,LOW
17.9,86,0.096,33.2,1,7.5,49.6,1.1,11,LOW
14.9,91,0.244,23.0,0,4.1,38.7,20.1,5,LOW
31.5,101,0.13,30.2,0,5.1,60.0,6.5,8,LOW
19.9,60,0.433,17.6,2,1.2,95.8,2.0,2,MEDIUM
24.4,43,0.616,30.9,2,2.5,65.9,13.4,5,MEDIUM
5.0,30,0.278,42.6,1,9.6,61.3,3.3,12,LOW
2.9,52,0.084,38.2,1,4.5,45.1,11.3,1,LOW
20.8,131,0.121,32.9,3,0.7,73.5,15.6,7,MEDIUM
24.7,51,0.193,30.4,0,5.4,61.9,8.4,8,LOW
69.9,74,0.509,27.7,1,9.9,84.1,15.4,8,MEDIUM
8.0,131,0.122,24.7,0,3.7,66.1,27.3,7,LOW
7.0,137,0.1,38.5,1,1.8,92.1,8.0,9,LOW
22.5,38,0.046,19.7,0,6.6,84.8,1.7,1,LOW
6.3,200,0.299,19.5,3,9.2,40.2,12.4,5,MEDIUM
40.1,222,0.082,39.2,0,8.7,39.5,5.3,1,LOW
29.3,36,0.098,33.7,2,6.7,31.7,7.6,10,MEDIUM
8.4,47,0.481,32.4,2,2.2,55.8,9.9,7,MEDIUM
20.8,233,0.305,33.7,0,8.0,33.8,12.6,11,LOW
