months_active,trust_score,avg_monthly_income,fraud_flags,existing_loans,claims_paid,zone_tier,is_eligible,max_loan_amount
32.9,35.3,10223,0,1,7,3,0,0
22.9,69.1,3000,0,0,2,1,0,0
3.9,57.2,14237,0,0,3,3,1,8265
5.3,79.0,11680,1,2,5,1,0,0
5.8,74.8,13369,0,2,4,2,0,0
15.8,64.7,14803,0,1,1,1,1,10000
7.8,42.8,4031,0,0,0,3,0,0
6.7,34.7,7891,0,1,4,3,0,0
10.5,65.4,7754,0,1,1,2,0,0
15.4,72.6,16560,0,2,3,2,0,0
1.2,71.6,16960,0,0,1,3,0,0
2.7,80.8,9900,0,0,3,3,0,0
0.5,82.8,3686,0,0,5,1,0,0
13.9,68.7,15138,0,0,2,3,1,10000
8.8,73.4,12977,0,0,1,3,1,8864
2.3,57.4,8459,0,0,3,1,0,0
3.5,61.2,7962,0,2,3,2,0,0
2.3,70.7,9824,0,1,3,2,0,0
41.0,91.4,13104,1,0,2,1,0,0
28.7,48.6,14458,0,0,3,3,1,10000
10.5,61.5,17164,1,0,1,1,0,0
7.0,81.0,9351,0,3,4,2,0,0
7.5,49.9,15000,0,2,3,3,0,0
2.1,47.7,22172,0,1,2,3,0,0
8.8,79.8,9709,0,0,0,3,1,6635
5.0,82.9,18564,0,2,1,3,0,0
16.0,72.4,5779,1,0,1,1,0,0
3.9,83.5,15025,0,0,2,3,1,8743
25.8,76.0,17372,0,0,5,3,1,10000
19.4,87.8,18255,0,1,1,1,1,10000
2.0,55.0,18864,0,1,2,2,0,0
21.2,69.8,6159,0,0,0,3,0,0
6.4,52.7,8888,0,1,6,3,1,5630
7.7,65.6,8961,0,1,1,1,1,5922
21.8,69.8,9657,0,0,1,1,1,9222
7.0,61.7,19497,0,1,6,2,1,10000
15.3,59.3,11810,0,1,2,1,1,9680
17.7,74.1,9754,0,0,0,2,1,8480
7.6,55.4,15588,0,1,0,1,1,10000
18.8,51.9,12927,0,1,2,1,1,10000
0.5,91.4,11435,0,2,3,2,0,0
1.1,52.9,9221,0,1,4,1,0,0
2.2,77.4,8740,0,1,1,2,0,0
2.1,35.3,17750,0,2,3,1,0,0
4.3,59.7,9954,0,1,3,2,1,5876
2.9,43.5,10717,0,0,4,3,0,0
12.3,63.2,8871,0,0,1,2,1,6704
10.9,67.5,9823,0,0,6,3,1,7143
19.5,62.5,8032,0,1,4,3,1,7274
31.5,56.4,10323,0,2,0,3,0,0
13.7,67.8,11656,0,0,1,1,1,9161
2.7,61.0,14488,0,0,0,1,0,0
5.9,67.4,8592,0,0,3,3,1,5351
17.7,74.9,10005,1,0,4,2,0,0
19.5,53.7,11107,1,1,5,3,0,0
8.1,72.1,18289,0,0,4,3,1,10000
0.5,54.0,13104,0,0,4,3,0,0
6.1,32.0,19022,0,1,5,1,0,0
2.5,72.6,7967,0,0,1,3,0,0
17.9,51.7,8979,0,0,4,3,1,7837
6.7,34.6,9926,0,2,3,3,0,0
9.6,59.7,18019,1,1,3,1,0,0
2.8,55.3,12253,0,0,0,2,0,0
20.7,72.9,14513,0,0,5,3,1,10000
6.8,90.0,11651,0,2,4,3,0,0
5.9,70.5,10928,0,0,2,3,1,6802
44.6,87.9,5479,0,1,2,3,0,0
4.4,51.4,11916,0,0,3,3,1,7050
10.1,51.3,19554,0,0,1,2,1,10000
46.1,77.8,11567,0,1,2,1,1,10000
32.9,60.5,7508,0,1,1,3,0,0
1.6,67.3,15016,1,0,3,2,0,0
1.8,57.5,17187,0,0,4,3,0,0
7.7,13.0,13951,0,0,4,1,0,0
10.2,59.1,16449,1,2,3,2,0,0
8.1,83.0,19590,0,0,7,2,1,10000
9.8,48.8,8179,0,0,3,2,1,5751
0.8,68.8,10740,1,0,3,1,0,0
3.1,68.4,13494,0,1,4,2,1,7626
11.5,49.1,8657,0,1,2,2,1,6399
12.4,66.8,10468,0,2,5,1,0,0
23.1,68.1,10739,0,1,3,1,1,10000
8.0,57.6,8515,0,0,4,3,1,5679
0.9,87.8,17434,0,2,6,1,0,0
13.1,59.4,7885,0,1,4,2,0,0
6.7,72.4,12295,0,1,3,2,1,7867
4.4,88.0,4771,1,0,5,3,0,0
0.5,46.8,9950,0,1,1,2,0,0
15.3,76.2,5544,0,1,4,1,0,0
27.7,70.6,9184,0,2,7,3,0,0
3.1,52.1,15563,0,1,2,2,1,8792
48.0,60.9,12174,0,1,2,3,1,10000
2.0,57.1,14092,0,0,7,1,0,0
3.1,82.3,7451,0,2,3,3,0,0
15.9,40.3,13087,1,1,6,2,0,0
5.4,36.6,7975,0,1,3,1,0,0
4.5,48.4,7614,0,0,4,2,0,0
5.5,63.7,6379,0,0,3,3,0,0
1.3,70.1,6771,0,1,2,3,0,0
2.7,66.7,16069,0,0,2,1,0,0
1.3,42.8,17297,0,2,1,2,0,0
6.6,33.4,6022,0,0,2,3,0,0
16.0,66.5,11208,0,0,3,1,1,9335
19.2,63.1,15574,0,1,1,3,1,10000
28.8,52.4,9232,0,2,3,3,0,0
2.5,51.9,8334,0,1,1,2,0,0
1.8,67.0,15790,0,2,3,3,0,0
7.5,80.7,13008,0,1,5,1,1,8533
5.0,40.8,17794,0,3,1,1,0,0
8.9,40.9,9217,0,2,4,3,0,0
14.7,42.9,5267,0,1,3,1,0,0
26.6,57.6,3000,0,0,3,3,0,0
12.4,71.6,11474,0,2,0,3,0,0
7.4,83.6,11049,0,0,3,1,1,7235
13.2,81.2,4267,0,0,2,2,0,0
0.7,53.4,10276,0,0,3,3,0,0
4.3,53.9,7395,0,0,2,2,0,0
19.5,56.7,14244,0,0,3,3,1,10000
0.5,55.4,11038,0,1,3,1,0,0
12.6,16.6,19897,0,0,1,1,0,0
9.5,64.0,16274,0,1,3,1,1,10000
21.8,79.8,12123,0,1,1,3,1,10000
1.1,83.3,7598,1,1,0,1,0,0
30.8,21.2,7992,0,1,4,1,0,0
13.8,53.9,10961,0,1,1,3,1,8631
18.8,62.3,16042,0,0,1,1,1,10000
10.0,54.3,12191,2,0,6,1,0,0
20.4,84.7,8031,1,0,5,2,0,0
5.2,34.0,10306,0,0,8,3,0,0
16.3,49.7,13610,0,0,4,3,1,10000
13.7,75.6,13054,0,0,2,1,1,10000
12.6,43.6,4975,0,2,5,1,0,0
3.3,74.2,4248,0,1,6,2,0,0
0.5,81.3,15696,0,0,3,3,0,0
6.7,60.2,17558,0,2,3,3,0,0
1.7,72.2,17346,0,1,1,2,0,0
2.0,51.4,13499,0,1,2,3,0,0
4.5,67.1,15147,0,1,3,2,1,8998
5.5,74.5,16878,0,1,1,1,1,10000
5.6,64.5,8855,0,0,7,1,1,5456
6.9,27.5,4501,0,0,0,2,0,0
20.8,49.8,15347,0,3,2,1,0,0
41.5,86.0,9878,0,0,5,1,1,10000
13.3,61.7,13047,0,1,1,2,1,10000
0.9,82.9,13233,0,0,1,2,0,0
31.8,54.7,8205,0,0,6,2,1,9543
44.6,46.9,7646,0,0,2,3,0,0
7.8,69.9,12927,0,0,2,1,1,8564
5.1,76.1,8918,0,1,2,3,1,5414
15.8,43.9,12156,0,2,4,2,0,0
14.4,32.6,5919,1,0,1,1,0,0
7.2,67.5,6166,0,1,4,2,0,0
1.5,58.1,12058,0,0,5,2,0,0
4.6,51.1,11739,0,1,3,2,1,6999
35.7,85.2,14938,0,0,2,3,1,10000
21.1,54.3,14143,0,1,0,3,1,10000
13.0,80.6,16560,0,0,1,1,1,10000
48.0,72.5,13422,1,2,2,3,0,0
4.6,76.4,13621,0,0,1,1,1,8125
3.8,61.3,13812,0,0,2,2,1,7985
9.7,25.8,11652,0,0,3,3,0,0
15.0,73.0,15767,0,1,1,1,1,10000
4.2,34.5,16054,0,2,4,3,0,0
14.7,60.3,13968,0,1,4,3,1,10000
30.7,82.3,11074,0,0,3,2,1,10000
2.2,87.1,11249,0,1,1,2,0,0
6.4,40.3,14357,0,0,3,1,1,9097
8.1,48.8,18770,0,0,5,3,1,10000
11.0,16.0,9754,0,1,3,3,0,0
9.3,39.7,9466,0,0,0,3,0,0
29.5,71.7,12800,0,3,3,3,0,0
3.9,52.3,18391,0,0,4,2,1,10000
5.5,43.0,14509,1,0,2,1,0,0
5.9,46.0,13546,0,2,1,3,0,0
33.5,56.1,3000,0,2,3,1,0,0
31.3,70.9,13674,1,2,2,1,0,0
4.2,52.9,9119,0,2,1,2,0,0
8.1,56.0,3504,0,1,1,1,0,0
27.1,79.0,7894,0,2,3,1,0,0
17.6,90.0,7428,1,0,5,2,0,0
31.4,54.8,18598,0,0,5,3,1,10000
11.8,85.8,3000,0,0,5,2,0,0
5.5,67.2,15012,0,0,7,2,1,9225
15.3,58.3,15730,0,0,3,1,1,10000
13.9,77.2,13178,0,1,0,2,1,10000
24.4,64.5,17473,0,0,4,1,1,10000
4.9,88.5,12312,0,3,0,2,0,0
0.5,63.8,11664,0,3,5,3,0,0
0.5,80.4,11397,0,2,5,3,0,0
7.4,54.8,13466,0,2,1,1,0,0
0.7,71.3,16802,0,0,1,2,0,0
10.1,49.2,12149,0,0,3,3,1,8623
5.9,90.7,9845,0,1,2,1,1,6137
35.2,43.3,16148,0,0,5,2,1,10000
6.1,67.5,12858,0,0,6,3,1,8064
9.3,77.5,14804,0,1,2,3,1,10000
13.2,48.5,17726,0,1,3,2,1,10000
6.3,85.7,9891,0,2,2,1,0,0
22.5,57.9,5938,0,0,4,3,0,0
27.1,75.9,20669,0,2,5,1,0,0
18.3,72.8,11114,0,1,2,1,1,9792
11.5,77.2,22222,0,1,3,3,1,10000
16.6,77.6,10381,0,0,7,2,1,8790
40.7,38.0,9472,0,1,4,3,0,0
19.7,70.5,10558,0,1,1,1,1,9605
2.0,69.4,10452,0,0,3,2,0,0
2.4,55.6,17665,0,0,3,3,0,0
5.7,42.4,3000,0,1,6,2,0,0
6.3,55.2,20320,0,0,5,3,1,10000
8.4,67.2,21248,0,0,7,2,1,10000
0.6,70.1,9712,0,0,3,2,0,0
3.7,50.6,9292,0,1,2,3,1,5360
31.4,62.6,16234,0,1,3,1,1,10000
47.6,79.3,12011,0,0,2,3,1,10000
19.7,63.1,3000,1,0,4,1,0,0
39.8,56.5,11349,0,0,7,1,1,10000
25.0,70.3,10725,0,1,3,2,1,10000
8.8,76.7,15979,0,0,3,3,1,10000
13.3,62.8,8442,0,1,1,3,1,6554
9.5,81.9,3000,1,0,4,3,0,0
2.3,86.6,10946,1,0,2,1,0,0
8.5,40.6,8904,0,0,2,3,1,6026
1.8,64.6,13933,0,0,6,2,0,0
7.0,67.1,3403,0,0,3,1,0,0
0.5,32.2,11501,0,2,1,3,0,0
31.1,55.1,12782,0,0,4,1,1,10000
25.8,48.6,13580,0,0,4,2,1,10000
4.2,67.0,12788,0,3,3,1,0,0
15.4,67.9,12846,0,0,2,1,1,10000
5.1,52.4,9822,0,1,1,1,1,5962
19.3,81.0,6955,0,0,2,1,0,0
16.1,51.2,10921,0,0,2,2,1,9114
13.9,48.7,9024,0,2,3,2,0,0
45.8,65.7,6136,1,1,2,3,0,0
17.1,78.3,7572,0,0,2,3,0,0
24.7,63.6,8225,0,3,2,3,0,0
9.1,65.4,18008,0,1,3,3,1,10000
13.5,54.5,14462,0,2,2,1,0,0
29.0,76.4,9110,0,2,5,1,0,0
5.1,40.1,9262,0,1,2,3,1,5610
12.0,84.8,8529,0,3,6,3,0,0
3.6,84.4,11790,0,0,4,2,1,6787
1.1,68.5,12805,1,1,4,3,0,0
13.7,74.4,9289,0,0,2,1,1,7301
4.9,64.0,9701,0,0,0,2,1,5844
2.3,77.3,15746,0,0,3,1,0,0
1.7,77.4,7122,0,3,4,1,0,0
8.7,42.2,17656,0,3,2,2,0,0
6.7,51.6,11921,0,1,6,1,1,7616
13.1,54.5,10989,0,0,3,1,1,8488
0.7,68.3,13775,0,0,3,2,0,0
5.2,72.2,4900,0,1,3,1,0,0
21.0,45.8,14371,0,1,1,1,1,10000
0.5,72.9,14359,0,1,2,2,0,0
13.7,27.9,12233,0,2,2,1,0,0
15.9,76.9,10005,0,0,1,2,1,8326
11.6,68.7,22047,0,1,7,1,1,10000
6.3,76.9,11312,1,0,4,2,0,0
25.0,47.3,3000,0,0,3,2,0,0
34.9,90.3,9922,0,1,2,2,1,10000
13.8,59.4,14333,0,1,4,2,1,10000
13.9,68.0,10257,0,0,2,2,1,8105
1.3,43.5,13451,0,3,3,1,0,0
0.5,73.2,5346,0,2,6,1,0,0
13.1,70.1,9416,0,1,0,3,1,7279
11.6,62.6,5588,0,1,0,3,0,0
0.5,75.7,10736,0,0,2,2,0,0
43.7,77.0,16575,0,2,3,3,0,0
0.5,74.8,14131,0,1,1,2,0,0
19.8,73.9,13033,0,2,0,3,0,0
15.8,62.0,17694,1,1,1,3,0,0
1.9,70.3,15423,0,0,1,2,0,0
10.4,75.2,14065,0,2,5,3,0,0
16.4,55.9,7875,0,1,3,1,0,0
25.6,69.3,16950,0,1,4,3,1,10000
21.6,82.9,11828,1,0,2,3,0,0
8.8,65.4,18860,0,0,3,1,1,10000
18.7,56.9,15082,0,0,2,2,1,10000
27.1,71.3,14161,0,2,5,3,0,0
0.8,62.6,9729,0,0,0,3,0,0
0.5,37.4,8351,0,1,1,2,0,0
0.8,54.5,9881,0,2,4,2,0,0
2.5,64.1,14268,0,1,4,3,0,0
7.0,32.5,11120,0,0,6,1,0,0
3.3,75.0,14404,0,0,1,2,1,8182
13.0,93.3,13538,0,0,1,3,1,10000
17.4,52.4,15670,0,3,6,3,0,0
2.0,89.1,16187,0,1,2,3,0,0
3.9,72.9,8283,0,0,4,1,1,4811
14.7,54.7,13968,0,1,3,3,1,10000
1.7,76.7,9916,1,3,7,2,0,0
7.6,82.2,4180,0,0,3,2,0,0
10.6,49.9,10097,0,1,3,1,1,7283
0.5,20.4,8497,0,1,3,3,0,0
4.9,41.1,12759,0,0,2,2,1,7676
18.7,39.2,15164,2,0,0,2,0,0
48.0,52.5,6816,0,0,4,3,0,0
5.3,70.3,10304,1,0,2,2,0,0
1.2,54.8,8362,1,0,7,3,0,0
6.0,62.1,13224,0,0,5,3,1,8259
6.3,61.7,12938,0,0,5,2,1,8178
19.0,41.9,11682,0,1,2,3,1,10000
20.6,73.6,15391,0,1,2,1,1,10000
5.5,60.7,12567,0,1,3,2,1,7720
0.7,44.9,16027,0,0,3,3,0,0
7.5,56.0,18250,0,0,4,2,1,10000
25.2,56.4,14994,0,2,2,3,0,0
8.7,58.2,14867,0,3,5,1,0,0
35.8,69.8,11951,0,1,0,3,1,10000
42.3,73.9,4727,0,1,2,2,0,0
22.3,52.8,14466,0,0,4,2,1,10000
6.8,69.2,16491,1,1,3,2,0,0
1.7,36.3,10305,0,1,2,2,0,0
12.1,38.8,14151,0,0,1,2,0,0
10.6,46.6,13746,0,0,4,1,1,9909
19.5,37.6,13839,1,1,6,1,0,0
20.2,65.0,14029,1,1,1,3,0,0
18.8,58.7,17160,0,0,4,3,1,10000
5.5,82.1,9566,0,1,1,1,1,5876
38.8,61.6,17474,0,0,2,2,1,10000
15.4,63.5,15898,0,2,7,2,0,0
8.1,32.9,14609,0,0,2,2,0,0
28.8,35.9,11646,0,1,3,3,0,0
8.6,68.4,16625,0,0,5,3,1,10000
13.0,47.6,10151,0,0,4,2,1,7830
8.7,67.6,6888,0,1,2,1,0,0
0.5,56.8,12355,0,1,4,3,0,0
2.7,56.6,18733,0,0,6,1,0,0
5.6,53.1,16008,1,2,6,1,0,0
2.0,70.7,12972,0,1,0,2,0,0
24.0,61.6,8427,0,2,3,3,0,0
9.9,64.8,5908,0,1,5,3,0,0
22.2,62.4,16924,0,0,0,3,1,10000
1.1,92.0,11198,0,0,2,1,0,0
3.9,80.6,6162,0,1,3,1,0,0
7.9,68.5,14043,0,2,7,3,0,0
2.1,64.4,6933,0,0,1,1,0,0
32.3,60.8,16183,0,0,2,3,1,10000
42.3,46.5,13245,0,0,8,3,1,10000
19.2,58.6,17111,0,0,0,3,1,10000
5.1,63.6,12595,0,1,6,1,1,7625
9.2,87.4,13419,0,0,2,2,1,9283
5.4,84.2,11626,0,0,2,3,1,7132
16.1,69.4,12176,0,1,1,1,1,10000
6.8,54.2,15540,1,0,5,3,0,0
0.5,50.4,20195,0,1,1,3,0,0
10.4,71.8,9807,0,0,3,1,1,7020
9.9,44.3,13109,0,1,1,1,1,9257
12.5,56.2,18104,1,2,3,1,0,0
25.4,72.7,8255,0,1,2,3,1,8488
14.0,34.3,13926,0,0,4,2,0,0
13.2,74.0,6364,0,1,2,1,0,0
0.5,74.8,13142,0,1,2,1,0,0
33.9,81.9,10194,0,1,2,1,1,10000
0.9,51.2,3000,0,0,5,3,0,0
25.3,55.7,13787,0,1,3,3,1,10000
4.4,58.6,14222,1,1,4,2,0,0
1.9,46.0,8013,0,0,4,3,0,0
13.4,34.1,22839,0,0,3,3,0,0
4.1,74.4,9642,1,2,4,3,0,0
2.3,61.8,8758,0,0,2,3,0,0
2.9,65.4,9373,0,1,3,2,0,0
5.2,53.8,12699,0,2,2,2,0,0
1.3,69.5,9828,0,0,4,1,0,0
9.2,78.4,4365,0,1,3,2,0,0
8.6,80.5,21283,0,0,1,1,1,10000
8.8,55.4,10393,0,1,2,1,1,7109
44.7,60.5,15733,1,0,2,2,0,0
1.0,50.7,22823,1,0,5,3,0,0
8.1,26.0,10061,0,0,4,3,0,0
1.0,79.3,11963,0,0,3,3,0,0
13.0,60.4,9330,0,2,3,3,0,0
16.0,48.8,16126,0,0,3,3,1,10000
2.3,34.7,9236,0,1,6,1,0,0
4.5,78.7,9443,0,0,6,1,1,5603
4.9,58.9,12934,0,1,7,2,1,7791
3.5,55.8,14053,2,0,3,1,0,0
18.6,67.6,10651,0,1,0,2,1,9460
7.4,64.7,10079,0,2,2,3,0,0
0.5,91.8,7269,0,0,4,2,0,0
4.2,51.8,16124,0,1,2,1,1,9461
38.1,53.6,10250,0,0,3,1,1,10000
5.9,60.7,10684,0,2,1,1,0,0
4.7,63.3,18836,0,0,2,3,1,10000
6.9,53.4,15506,0,2,2,2,0,0
18.4,59.6,8160,0,0,1,3,1,7201
11.3,82.3,6386,0,0,3,2,0,0
4.2,83.8,15498,0,0,3,2,1,9102
8.5,50.3,13198,0,1,4,3,1,8930
19.6,70.7,11734,1,0,2,1,0,0
29.0,81.2,13534,0,0,3,3,1,10000
7.7,71.0,12990,0,0,5,1,1,8589
34.0,63.9,4175,0,0,3,2,0,0
3.1,67.3,11094,0,2,5,2,0,0
23.5,75.3,11502,0,0,4,3,1,10000
30.4,46.5,3000,0,1,3,1,0,0
46.0,87.5,3000,0,1,4,3,0,0
6.8,86.4,10584,0,2,2,3,0,0
18.5,38.2,6013,0,1,1,2,0,0
16.8,40.8,4842,0,0,2,2,0,0
29.2,74.4,16755,0,0,5,1,1,10000
48.0,24.3,22868,0,0,1,3,0,0
21.8,61.9,9955,0,1,2,3,1,9491
1.8,89.0,4541,1,0,4,3,0,0
5.9,37.8,10634,0,2,1,1,0,0
2.0,79.3,12641,0,0,3,2,0,0
12.2,64.8,10323,1,1,0,3,0,0
7.3,80.1,13184,1,2,1,2,0,0
8.1,75.6,15170,0,1,4,3,1,10000
48.0,60.9,4757,0,2,2,1,0,0
9.8,82.6,18022,1,0,1,2,0,0
15.0,70.9,12306,0,0,1,1,1,9988
29.0,76.9,18021,0,2,0,3,0,0
2.7,91.0,9222,0,1,3,2,0,0
14.9,61.1,7404,0,0,2,3,0,0
11.7,71.4,6920,0,3,1,1,0,0
5.5,67.8,13748,0,1,5,2,1,8450
7.7,42.0,8746,0,3,1,1,0,0
27.3,51.4,12148,0,0,5,3,1,10000
28.9,44.4,14765,0,1,5,1,1,10000
3.5,30.9,17840,0,1,3,3,0,0
27.2,76.1,7917,0,0,3,1,0,0
1.6,62.6,13433,0,1,2,2,0,0
11.0,38.3,8653,0,0,4,1,0,0
7.7,30.8,15982,0,0,3,1,0,0
10.8,75.0,14532,0,0,6,2,1,10000
20.5,55.0,10792,0,1,6,3,1,10000
10.1,67.9,12408,0,0,5,3,1,8812
15.0,81.8,11037,0,1,4,3,1,8973
28.0,54.1,10007,0,1,3,3,1,10000
1.2,44.7,5890,0,2,1,3,0,0
5.3,91.4,10756,0,2,4,3,0,0
5.5,48.0,12406,0,0,0,2,1,7626
13.0,40.8,13112,0,2,4,1,0,0
2.6,84.7,12113,0,0,2,2,0,0
3.1,48.5,19250,0,0,4,3,1,10000
8.7,34.6,15360,0,0,1,3,0,0
15.7,66.8,15986,0,0,1,2,1,10000
48.0,49.9,10083,0,1,3,1,1,10000
2.8,66.9,14982,0,0,2,2,0,0
1.7,57.0,14503,0,0,2,1,0,0
4.6,66.3,13129,0,3,0,1,0,0
0.5,41.2,17170,1,0,2,3,0,0
10.6,40.2,11474,0,0,3,1,1,8261
3.0,50.2,16682,0,1,3,2,0,0
2.9,40.9,12131,0,3,3,1,0,0
18.0,83.2,6126,0,0,10,3,0,0
5.4,51.1,13001,0,0,2,2,1,7969
30.7,50.3,15752,0,1,1,3,1,10000
10.9,65.0,11976,1,1,2,2,0,0
6.5,69.2,10525,0,1,2,2,1,6693
34.4,34.2,10388,0,3,2,1,0,0
31.7,60.2,12297,0,0,4,3,1,10000
9.8,51.0,14065,0,2,4,3,0,0
6.8,70.8,10181,0,0,4,3,1,6525
20.6,51.0,11946,0,0,2,3,1,10000
14.0,73.2,8295,1,0,5,3,0,0
29.6,69.0,12173,1,1,4,1,0,0
21.8,61.6,3000,0,3,2,1,0,0
28.9,85.5,5296,0,2,3,2,0,0
2.2,57.3,4823,0,2,2,2,0,0
25.0,93.1,13063,0,1,2,2,1,10000
5.5,69.4,16661,0,0,3,3,1,10000
0.7,58.1,15855,0,0,1,3,0,0
10.4,84.6,11866,0,0,4,3,1,8500
3.7,68.4,10985,0,1,3,1,1,6338
14.4,72.7,15079,0,0,1,2,1,10000
42.1,74.0,16209,0,0,2,1,1,10000
19.0,56.5,6235,0,3,2,1,0,0
3.8,54.6,13675,0,0,4,2,1,7926
48.0,85.1,10749,0,0,2,1,1,10000
7.4,36.0,10208,0,1,4,1,0,0
7.6,28.3,6531,0,1,5,2,0,0
3.3,91.9,10025,0,1,6,3,1,5695
4.4,60.4,11064,0,1,4,3,1,6541
27.9,56.2,11740,0,2,1,2,0,0
4.4,31.7,13314,0,1,2,2,0,0
6.4,53.2,15319,0,1,2,3,1,9695
3.7,51.5,11637,0,0,2,2,1,6722
7.1,44.5,14528,0,1,1,2,1,9400
19.4,43.3,8714,0,2,1,1,0,0
6.2,74.2,9053,0,1,2,1,1,5688
7.2,66.0,18361,0,1,10,2,1,10000
20.4,61.8,3000,0,2,4,3,0,0
24.6,80.5,17737,1,0,6,1,0,0
14.5,85.6,12995,0,1,4,1,1,10000
15.0,86.2,12552,0,3,0,3,0,0
