hourly_rate,normal_work_hours,rainfall_mm,traffic_disruption,aqi,day_of_week,is_peak_hour,city_index,income_lost_inr
94,6.0,6.0,0.22,93,3,0,1,89.96
90,6.9,0.6,0.383,198,0,1,5,107.27
98,9.9,17.4,0.113,141,5,0,7,116.7
66,8.8,3.7,0.105,79,3,0,0,51.58
90,7.6,31.7,0.281,69,1,1,7,91.65
71,7.1,13.1,0.555,133,5,1,3,112.17
50,10.5,4.9,0.281,23,2,1,3,58.7
94,9.0,20.5,0.581,19,4,1,0,229.92
92,7.7,20.4,0.517,31,5,0,1,162.76
102,8.1,2.1,0.286,193,4,1,5,80.81
58,10.6,9.4,0.464,218,3,0,7,100.19
82,8.2,0.1,0.449,11,6,1,0,69.89
77,8.4,5.1,0.593,24,4,0,0,50.15
97,9.1,14.2,0.111,399,5,0,1,190.03
59,6.4,4.8,0.423,46,1,0,5,44.09
76,10.3,1.7,0.157,28,0,1,3,8.67
81,6.5,10.3,0.204,24,1,0,4,59.99
91,11.3,39.1,0.175,98,4,0,4,185.82
86,9.2,6.4,0.513,107,3,1,1,94.22
80,11.6,30.0,0.194,103,0,1,6,94.86
75,8.4,28.3,0.387,104,1,0,6,101.49
79,11.9,13.2,0.35,74,1,0,7,168.48
91,9.7,0.9,0.474,7,3,0,3,115.34
68,6.7,12.7,0.148,71,4,1,0,32.59
76,9.4,10.7,0.218,47,5,0,5,91.41
76,6.3,10.4,0.483,46,5,0,2,73.42
50,8.6,5.0,0.294,26,0,1,1,55.92
51,10.0,16.7,0.118,49,0,1,1,54.45
58,6.8,25.7,0.372,153,4,0,4,68.33
77,7.0,13.5,0.209,11,0,0,3,53.91
88,10.6,1.9,0.139,56,6,0,2,1.32
71,7.6,18.4,0.19,40,2,0,7,121.27
56,11.1,2.0,0.076,128,0,1,0,49.99
94,9.7,19.3,0.269,56,3,0,4,128.67
84,9.3,11.2,0.175,19,2,0,5,60.0
77,8.4,5.0,0.094,39,2,0,4,0.0
84,11.8,10.0,0.252,19,1,0,4,72.32
64,9.7,20.8,0.449,76,2,1,6,98.2
95,6.5,8.6,0.221,60,4,0,2,44.18
85,8.4,7.8,0.236,52,0,0,3,55.19
78,6.7,2.9,0.339,53,1,0,3,53.74
75,10.4,5.5,0.324,121,5,0,1,86.77
81,7.5,8.8,0.409,177,1,1,1,107.94
87,6.1,1.5,0.177,9,3,0,1,82.55
54,12.0,15.0,0.123,20,3,0,7,46.06
68,8.8,27.0,0.223,99,6,0,0,91.81
75,6.2,18.7,0.345,46,4,1,3,24.99
74,8.7,8.0,0.415,143,3,0,6,57.24
69,7.6,0.1,0.103,282,5,0,1,52.48
92,10.4,7.3,0.237,113,2,1,4,74.86
70,6.0,1.6,0.386,37,4,0,3,33.3
64,6.8,16.3,0.417,260,0,1,5,77.36
73,8.1,1.6,0.186,45,5,0,2,0.0
103,8.4,1.6,0.287,67,4,1,4,114.6
80,8.9,8.6,0.136,156,0,0,5,78.35
73,8.1,3.3,0.057,31,3,0,6,22.2
75,8.4,3.3,0.01,150,2,0,6,24.81
54,8.9,38.5,0.499,187,0,1,0,127.51
77,11.6,4.2,0.366,41,0,1,2,123.01
84,9.2,30.2,0.291,70,4,0,7,84.25
87,8.6,3.2,0.177,131,1,0,3,15.45
78,6.3,27.4,0.619,83,2,0,2,133.03
69,6.9,2.7,0.428,44,6,0,1,83.11
94,10.5,2.3,0.242,200,1,0,7,118.85
74,11.8,3.9,0.239,34,5,0,1,58.73
65,8.3,6.6,0.194,84,4,0,2,69.38
68,11.8,2.8,0.23,58,1,0,1,0.0
75,8.0,11.5,0.425,270,2,0,1,91.32
76,11.7,7.6,0.155,44,1,0,0,75.5
72,9.7,9.3,0.189,40,6,0,2,22.6
85,6.2,13.1,0.397,26,2,1,4,85.09
79,6.5,7.4,0.344,19,2,0,6,39.05
93,11.9,1.2,0.234,47,2,0,2,108.84
81,7.8,5.2,0.089,100,0,0,3,16.75
75,6.1,8.8,0.242,61,3,0,0,51.52
72,6.5,2.4,0.242,39,4,1,1,2.94
74,9.2,8.1,0.286,118,4,0,4,84.22
64,7.4,1.6,0.198,135,6,1,6,82.99
76,10.5,5.2,0.229,151,6,0,6,49.62
87,11.3,21.9,0.226,61,3,1,3,129.47
92,8.2,0.6,0.362,77,2,0,1,33.66
83,10.2,0.4,0.103,49,2,0,1,19.5
131,10.3,6.1,0.288,185,5,1,2,67.13
85,8.8,29.5,0.399,61,6,0,6,100.62
54,7.6,11.4,0.502,48,5,1,6,64.04
86,10.5,13.9,0.078,84,0,1,0,35.14
97,6.3,9.8,0.1,182,0,0,0,65.56
76,6.5,17.9,0.182,59,0,0,3,76.85
58,6.7,6.3,0.425,30,4,0,5,39.66
53,7.9,16.6,0.362,98,6,0,6,57.9
79,7.8,32.7,0.323,28,5,0,2,98.48
65,7.9,5.1,0.47,123,5,0,2,107.63
77,6.6,6.3,0.195,35,6,0,6,61.23
74,8.5,2.3,0.043,32,1,0,2,0.0
102,8.9,1.5,0.228,351,5,1,7,116.24
93,11.3,16.6,0.031,232,4,1,7,82.51
72,11.6,10.6,0.455,37,6,0,2,137.5
74,8.0,15.1,0.159,51,2,0,5,36.93
94,11.8,2.2,0.322,62,4,0,4,149.29
82,8.9,17.0,0.294,164,2,1,4,63.54
85,11.0,4.5,0.391,77,6,1,2,94.66
98,6.0,11.6,0.189,50,1,1,2,65.31
68,6.5,22.6,0.447,45,6,0,7,120.67
94,8.5,11.5,0.311,39,1,0,6,140.04
74,8.4,2.3,0.046,37,2,0,4,50.69
50,8.8,8.3,0.07,320,2,1,3,55.52
62,7.6,3.5,0.59,116,0,0,2,86.21
66,9.5,9.7,0.328,94,1,0,3,27.98
100,10.4,1.0,0.402,91,4,1,3,128.52
78,6.8,48.5,0.625,53,3,0,6,172.27
75,9.3,11.6,0.248,47,4,0,4,104.69
102,7.4,5.8,0.136,358,3,0,7,0.0
68,11.3,5.1,0.294,58,6,0,2,86.44
74,11.5,10.4,0.157,19,2,0,0,0.0
80,10.3,13.4,0.235,75,3,0,3,166.92
79,7.0,3.2,0.043,30,0,1,5,42.18
85,11.7,9.6,0.317,69,5,0,6,81.63
88,10.4,23.3,0.391,145,6,0,4,175.98
68,6.6,19.9,0.287,12,5,0,3,39.21
52,9.5,2.4,0.185,35,4,0,5,24.83
86,9.7,5.8,0.256,22,1,1,5,12.78
52,9.6,18.8,0.572,51,3,0,4,87.32
85,9.2,4.4,0.435,58,3,0,1,83.16
91,6.4,17.6,0.303,252,2,1,0,103.67
97,7.2,14.8,0.323,99,0,0,2,107.9
78,11.6,2.4,0.423,64,3,0,0,145.28
110,10.6,14.3,0.359,169,2,1,7,254.77
59,9.4,21.8,0.109,108,3,1,6,100.08
102,9.5,28.5,0.454,43,3,1,6,180.87
68,7.8,3.4,0.421,160,3,0,3,92.25
81,7.9,69.3,0.217,136,3,1,3,189.49
82,6.8,8.1,0.557,62,4,0,0,102.53
100,11.6,3.5,0.193,28,3,0,5,61.48
64,9.9,15.4,0.276,26,4,0,6,143.18
112,7.6,15.0,0.269,64,0,0,5,57.93
50,10.3,11.4,0.515,202,3,0,5,107.73
79,11.1,1.9,0.232,97,3,0,7,84.04
89,10.2,0.4,0.18,115,4,1,5,109.17
95,7.7,16.0,0.161,27,2,0,0,35.09
59,7.3,5.2,0.361,90,2,0,1,67.46
50,6.6,1.2,0.212,32,1,1,0,25.17
100,8.4,32.1,0.057,139,3,1,6,221.19
84,11.6,31.3,0.533,279,1,0,0,300.55
51,7.2,12.3,0.393,62,1,1,0,82.57
72,8.9,3.3,0.531,134,2,1,0,97.25
69,6.1,50.1,0.579,24,5,1,2,116.96
97,11.1,3.3,0.31,64,6,0,4,96.64
75,9.7,0.1,0.056,242,5,0,1,60.02
77,7.9,27.6,0.178,43,6,0,2,91.42
76,6.8,2.6,0.224,67,5,1,6,26.16
105,9.8,11.9,0.242,86,2,0,5,119.22
94,9.2,3.3,0.261,28,4,0,0,17.61
90,11.9,7.1,0.421,290,4,1,6,177.69
83,8.8,6.2,0.195,175,3,1,5,0.0
83,6.9,5.6,0.226,144,4,0,5,77.36
66,11.1,4.6,0.276,114,3,1,4,100.43
93,11.4,0.2,0.125,37,6,0,6,42.13
74,6.6,2.9,0.469,185,6,1,1,94.8
61,11.0,61.7,0.433,65,6,0,7,222.36
78,7.6,0.1,0.173,24,6,1,7,24.23
80,9.2,0.9,0.061,42,6,0,3,18.19
100,9.6,0.4,0.071,29,4,0,5,23.86
93,11.4,8.7,0.125,264,5,0,6,138.14
65,6.9,0.5,0.366,227,3,0,5,37.4
96,6.1,9.2,0.305,315,0,0,2,81.44
50,9.6,4.7,0.241,73,1,0,2,42.38
86,9.8,25.2,0.152,27,4,1,2,153.21
70,11.8,5.3,0.381,54,0,1,4,116.12
59,6.6,20.6,0.264,74,5,0,1,51.73
62,8.4,14.6,0.112,42,0,0,5,111.99
102,10.3,41.9,0.209,96,5,0,2,268.86
87,9.3,7.0,0.351,57,0,0,1,101.81
86,11.7,37.1,0.259,69,0,0,4,295.16
95,6.5,12.5,0.191,38,2,0,7,22.03
76,6.9,5.8,0.332,71,6,1,5,45.27
101,9.7,8.1,0.262,70,1,1,1,70.83
77,9.8,15.7,0.396,51,3,1,6,112.93
50,8.8,26.0,0.315,91,3,0,4,80.71
104,10.4,6.2,0.153,19,5,0,4,85.18
50,8.0,34.4,0.152,67,5,1,0,80.22
76,7.6,7.8,0.303,436,2,1,3,130.07
91,7.1,17.7,0.083,85,5,1,4,59.1
50,9.6,28.6,0.512,46,0,1,0,116.62
78,10.8,3.0,0.206,249,4,0,3,79.17
78,6.2,2.7,0.229,34,6,0,0,0.89
94,7.0,13.7,0.233,18,1,1,5,98.37
87,11.1,12.0,0.359,173,1,1,4,138.16
60,6.1,21.2,0.624,75,4,0,0,89.8
70,6.3,9.4,0.204,108,3,0,5,2.55
64,9.1,15.6,0.453,39,0,1,7,82.11
52,8.2,2.2,0.201,36,2,1,0,31.91
70,10.6,9.5,0.083,128,0,0,0,29.48
102,9.9,0.1,0.444,41,4,1,1,102.23
87,7.1,13.7,0.408,37,4,1,0,112.95
86,8.0,42.3,0.309,87,2,0,2,209.31
62,6.5,2.3,0.599,396,4,0,5,101.21
51,6.6,1.8,0.048,53,3,0,5,0.0
89,11.9,7.7,0.111,20,3,0,1,15.21
95,6.2,7.1,0.079,71,3,1,1,1.72
82,7.1,7.0,0.208,186,2,1,1,96.72
91,8.4,4.1,0.065,54,3,1,4,62.87
75,9.5,1.8,0.308,24,3,0,6,69.24
81,11.7,30.7,0.383,125,3,0,5,185.1
69,8.3,5.1,0.428,299,1,0,7,82.41
86,7.1,6.3,0.624,16,6,0,2,63.42
77,8.9,6.6,0.361,269,2,0,7,127.76
89,10.6,1.6,0.171,178,2,0,7,121.36
92,7.6,2.6,0.181,45,3,0,3,50.73
75,7.0,0.2,0.463,79,4,1,7,69.65
88,10.3,8.3,0.239,57,5,0,6,28.7
70,9.1,9.7,0.596,55,5,1,3,106.72
107,10.1,2.9,0.251,33,5,0,4,162.47
101,8.2,6.6,0.222,20,2,1,1,1.35
84,10.9,14.1,0.286,145,2,0,2,135.02
69,8.5,3.6,0.365,189,4,1,1,88.85
84,9.9,5.5,0.186,69,3,1,7,18.27
62,8.3,14.6,0.36,104,1,1,1,126.6
86,9.4,10.9,0.344,191,0,1,4,210.99
50,9.4,8.5,0.455,21,6,1,2,51.17
64,10.8,24.3,0.122,10,4,1,0,34.5
86,6.6,0.9,0.129,98,0,1,7,13.34
101,7.4,9.0,0.515,30,5,1,3,104.47
86,7.8,14.4,0.123,14,4,0,6,52.64
75,9.0,3.9,0.393,58,1,0,3,165.19
66,11.4,4.1,0.556,136,5,0,3,83.67
72,10.8,8.3,0.022,286,1,1,1,99.79
53,11.0,5.0,0.093,10,3,0,6,47.34
74,8.1,6.6,0.357,10,0,0,0,114.86
113,8.0,14.1,0.353,23,1,1,0,113.25
82,10.2,5.6,0.369,97,2,1,1,138.84
86,11.2,0.3,0.385,187,1,1,5,184.63
52,11.8,1.2,0.359,17,3,0,1,15.05
101,8.2,8.5,0.462,234,1,0,2,106.31
103,9.8,32.8,0.555,253,6,0,3,282.14
83,10.2,4.0,0.597,13,5,1,3,66.0
89,11.4,0.3,0.342,70,4,0,0,139.28
70,10.4,20.2,0.298,44,4,1,5,104.82
76,8.6,17.7,0.74,49,6,0,3,158.38
120,10.6,24.6,0.102,257,0,1,6,334.1
73,8.7,7.5,0.137,228,4,0,3,50.58
107,11.9,0.9,0.427,47,0,0,2,129.53
111,8.2,1.9,0.166,36,0,0,1,0.0
87,6.4,38.7,0.148,199,0,1,1,126.12
78,10.3,23.3,0.287,139,5,0,4,106.97
60,7.8,11.2,0.472,81,2,0,0,84.31
88,10.2,0.6,0.359,82,0,0,4,75.01
80,6.5,0.8,0.344,37,4,0,7,71.88
78,11.9,2.4,0.195,99,4,0,2,71.12
73,10.8,12.9,0.363,18,1,0,6,140.08
85,10.1,43.3,0.168,35,6,0,6,147.85
87,9.9,10.4,0.184,147,1,1,1,74.85
79,6.8,21.8,0.429,97,6,1,2,99.19
98,6.9,17.4,0.239,72,4,0,6,78.66
80,6.5,3.6,0.633,112,5,0,6,77.85
78,10.6,10.5,0.228,19,2,0,7,81.75
63,10.3,14.7,0.076,451,3,0,1,104.97
77,11.2,4.7,0.105,52,0,0,4,28.03
79,9.9,11.3,0.403,89,1,0,5,136.75
50,8.4,1.7,0.544,112,4,0,4,22.75
88,11.4,19.4,0.307,64,0,0,7,136.97
94,9.7,4.5,0.104,55,6,1,0,5.94
113,6.3,4.4,0.245,77,1,0,7,38.47
66,11.4,15.7,0.136,60,0,1,4,67.45
78,11.2,18.4,0.413,80,0,0,7,154.94
87,10.5,15.7,0.307,220,5,1,0,129.66
79,11.6,4.9,0.007,47,3,1,2,70.42
69,8.4,30.4,0.032,70,6,1,3,115.49
58,11.1,10.8,0.305,33,6,0,0,90.69
81,11.6,5.3,0.678,52,6,1,4,28.5
98,10.7,5.1,0.13,7,0,1,3,39.1
80,10.4,1.0,0.357,108,1,0,2,76.43
79,8.1,2.2,0.258,105,6,0,4,46.64
86,8.0,12.7,0.129,42,0,0,2,108.49
91,11.4,4.5,0.628,257,5,0,5,166.94
85,7.1,3.6,0.526,92,0,1,7,78.14
61,6.3,0.1,0.414,59,2,0,4,41.05
87,9.8,22.3,0.381,9,6,1,5,208.66
71,8.0,3.8,0.2,27,6,0,0,0.0
69,10.4,4.4,0.231,153,6,0,3,106.18
64,12.0,61.3,0.296,23,3,1,5,244.82
79,7.3,7.8,0.308,155,2,0,6,43.35
72,7.9,9.2,0.152,43,0,0,4,26.41
76,9.6,0.7,0.137,48,0,1,4,32.48
65,10.0,8.5,0.429,76,6,1,4,101.7
93,12.0,6.7,0.152,59,4,0,0,69.53
74,9.0,24.5,0.128,85,6,1,1,49.34
69,7.3,8.9,0.229,114,1,1,4,61.82
55,11.3,24.4,0.357,83,5,1,3,162.45
105,10.3,16.9,0.36,75,6,1,7,144.06
57,9.7,0.2,0.538,30,1,0,3,40.61
84,11.2,43.4,0.203,77,1,0,4,179.49
90,6.5,0.9,0.353,47,5,0,7,27.37
74,8.7,0.4,0.413,46,4,0,3,67.81
86,11.3,4.5,0.345,160,0,0,6,163.01
87,6.5,6.6,0.156,36,5,0,5,84.94
93,9.4,3.0,0.289,383,0,0,6,100.74
89,7.9,8.3,0.511,398,6,1,4,139.44
75,9.4,41.3,0.225,224,5,0,7,228.98
74,6.6,9.7,0.183,118,4,0,5,68.99
111,9.2,1.4,0.39,78,1,1,2,117.33
96,9.1,29.1,0.451,32,3,0,5,201.43
70,6.4,1.4,0.386,9,4,1,4,29.95
85,7.4,7.3,0.111,52,5,0,4,61.91
86,6.8,7.4,0.39,71,0,1,4,69.96
80,8.9,15.6,0.339,30,6,0,1,67.76
106,7.7,13.7,0.066,31,0,0,1,67.52
78,9.1,11.5,0.124,41,1,0,6,102.77
79,9.4,12.1,0.208,60,6,1,4,94.0
92,6.0,17.2,0.082,30,3,1,3,115.57
66,11.2,2.3,0.613,360,4,0,1,161.4
72,6.9,44.9,0.737,68,5,1,7,161.32
102,11.1,9.5,0.596,73,6,0,4,115.98
80,9.3,15.3,0.233,355,0,0,2,187.07
68,7.4,10.4,0.318,86,2,0,3,76.6
83,10.7,25.0,0.204,112,6,1,3,158.84
82,9.9,10.6,0.269,259,2,1,0,75.59
100,9.9,1.2,0.704,495,5,0,4,312.11
96,7.9,24.8,0.193,280,1,0,5,170.4
83,8.4,1.3,0.31,16,5,1,3,18.14
105,9.2,8.8,0.126,18,4,1,1,113.96
99,8.2,2.7,0.111,230,2,1,4,72.24
85,8.2,1.5,0.528,20,0,0,2,8.21
67,11.1,1.6,0.386,40,5,0,5,38.85
107,11.8,24.1,0.152,90,2,0,3,87.7
99,8.9,5.1,0.163,781,5,0,5,201.05
62,11.2,5.2,0.307,513,2,0,5,141.57
71,10.8,13.9,0.212,33,2,0,2,68.8
60,8.9,21.4,0.066,24,0,1,6,19.16
64,10.0,20.5,0.247,304,5,1,3,96.97
99,6.4,12.5,0.153,277,4,0,2,26.13
81,9.9,15.2,0.162,16,6,0,4,122.48
70,7.5,11.5,0.076,46,4,0,2,30.32
91,11.6,21.4,0.145,41,0,1,6,150.17
93,10.0,5.1,0.202,125,1,1,6,111.88
100,9.7,3.3,0.076,499,1,1,6,182.65
89,11.4,2.6,0.213,47,3,1,5,52.88
90,10.5,11.1,0.542,19,0,1,1,187.64
68,8.5,3.2,0.662,81,0,0,0,50.21
81,10.7,1.7,0.224,237,5,1,0,39.7
80,11.6,40.1,0.164,35,0,0,6,138.7
50,11.7,5.7,0.384,144,3,0,6,97.46
85,7.5,26.9,0.101,52,4,1,5,65.43
54,9.3,14.6,0.157,41,3,1,7,40.73
91,10.8,5.1,0.27,55,3,0,6,142.4
74,11.9,1.8,0.194,40,2,0,1,97.5
74,6.5,22.1,0.305,17,1,0,4,78.27
72,10.6,26.7,0.31,167,1,0,2,219.41
71,8.7,2.4,0.373,95,2,0,2,80.78
77,11.1,11.9,0.136,61,0,1,7,72.9
94,10.5,9.9,0.031,181,2,0,1,146.0
64,8.7,31.6,0.405,112,0,0,0,130.64
80,11.6,12.5,0.538,223,1,0,0,223.5
112,8.2,3.8,0.057,167,1,1,4,0.0
70,8.4,15.1,0.328,270,4,1,2,112.11
80,10.5,9.0,0.275,389,2,1,6,113.59
93,7.6,5.1,0.436,8,5,1,5,50.06
113,10.6,11.2,0.203,120,2,0,1,131.33
103,10.8,39.3,0.152,198,5,0,2,318.13
78,10.3,20.4,0.199,103,5,0,1,139.68
86,8.3,16.3,0.172,23,2,0,0,33.67
77,8.8,1.0,0.177,108,1,0,5,46.47
96,9.3,1.5,0.265,162,4,0,4,88.63
78,6.8,11.4,0.11,25,3,1,5,38.33
106,8.2,0.4,0.262,80,6,0,4,110.79
51,7.0,12.3,0.419,34,3,0,0,64.04
89,7.7,4.3,0.518,29,5,1,0,128.69
91,11.4,2.1,0.296,83,0,1,7,84.29
50,6.3,0.6,0.496,28,6,0,7,10.05
55,9.3,2.9,0.035,39,1,0,2,15.27
100,8.6,14.3,0.086,102,1,0,3,87.38
88,10.0,7.2,0.043,86,4,1,4,133.28
92,11.8,0.4,0.739,58,4,1,4,174.98
105,8.8,0.9,0.203,219,4,1,3,170.58
75,9.0,10.5,0.152,106,3,0,3,103.96
105,6.7,21.8,0.491,19,1,1,3,150.79
124,11.5,10.9,0.482,48,3,1,0,223.83
99,8.3,5.8,0.138,59,3,1,0,18.23
86,6.3,6.9,0.386,160,4,0,5,60.23
79,9.2,6.1,0.275,5,6,0,3,4.98
83,11.1,27.3,0.196,61,1,0,1,182.43
83,9.5,2.0,0.548,129,4,1,4,3.61
80,9.6,5.8,0.518,81,4,0,3,100.18
63,6.1,4.4,0.333,15,3,0,2,48.81
86,11.8,10.7,0.267,118,1,0,4,103.75
83,8.4,14.1,0.207,33,3,1,1,60.7
100,6.9,8.7,0.161,29,3,0,3,77.57
89,6.8,57.2,0.067,75,3,1,1,112.16
69,10.0,3.5,0.489,14,2,1,6,74.09
64,8.6,0.2,0.251,95,6,0,4,45.47
80,6.3,15.4,0.251,89,3,0,7,47.97
67,6.5,3.4,0.234,78,5,0,4,0.0
82,8.6,42.3,0.37,101,2,1,3,215.33
70,10.8,19.5,0.157,132,4,0,1,49.15
99,6.9,11.8,0.391,308,1,1,4,134.15
89,6.7,14.6,0.248,24,3,1,0,66.76
95,8.8,19.3,0.413,31,0,0,7,85.98
78,9.1,13.8,0.45,179,5,1,7,139.16
83,9.1,4.5,0.183,84,5,1,3,55.13
94,9.0,8.5,0.38,65,0,0,3,142.17
85,11.3,4.5,0.521,98,5,0,7,132.8
91,8.4,14.6,0.389,333,6,0,6,127.15
70,6.2,0.1,0.355,65,5,0,7,12.89
93,6.1,5.8,0.455,28,6,0,0,35.81
71,8.4,2.1,0.167,80,5,1,5,86.23
111,11.4,35.8,0.458,47,0,1,1,197.26
83,10.3,15.2,0.504,43,3,0,4,105.1
97,9.4,8.4,0.075,59,5,0,2,80.83
73,10.2,3.3,0.384,103,4,1,0,50.41
77,7.0,0.2,0.11,22,1,0,0,0.0
76,7.8,16.9,0.234,167,1,1,0,65.42
54,10.7,8.2,0.188,169,1,0,6,83.68
50,6.1,1.1,0.552,26,3,1,0,0.0
76,7.8,10.3,0.168,427,2,0,2,89.99
52,11.7,0.5,0.135,50,5,0,1,35.51
84,9.7,6.8,0.164,65,6,0,6,59.53
78,10.4,7.0,0.347,141,0,0,7,71.23
50,8.4,23.9,0.355,24,3,1,6,99.32
72,6.6,52.4,0.303,272,5,1,4,149.37
80,10.1,1.9,0.306,103,2,0,3,55.4
101,8.5,14.5,0.137,82,5,0,0,92.82
73,6.9,24.6,0.294,37,1,1,4,76.84
55,11.4,6.7,0.446,127,6,0,5,129.39
53,7.5,4.7,0.046,617,5,1,6,50.04
72,8.1,0.2,0.388,43,3,0,0,43.36
65,7.3,9.9,0.098,178,1,0,4,21.32
77,8.4,2.4,0.142,155,0,1,1,69.85
83,9.7,0.9,0.55,62,0,0,2,72.94
88,7.2,0.0,0.695,433,6,0,2,127.08
88,8.2,38.9,0.174,8,4,0,5,65.28
71,6.1,23.4,0.128,36,0,0,5,43.29
89,7.0,39.3,0.224,102,0,1,3,187.42
57,11.4,34.1,0.116,55,5,0,6,77.22
