gps_deviation_km,location_consistency,claim_frequency_30d,account_age_months,multiple_claims_per_day,orders_during_disruption,avg_payout_inr,trust_score,zone_risk_tier,is_fraud
0.634,0.944,2,25.2,0,1,145,86.6,3,0
0.024,0.912,1,2.7,0,2,518,66.2,1,0
0.011,0.943,2,60.0,0,2,269,62.4,2,0
0.085,0.639,0,12.5,0,1,313,67.2,1,0
0.369,0.805,1,15.0,2,1,542,66.2,1,0
1.007,0.962,1,43.2,0,1,332,82.9,2,0
0.345,0.788,4,2.0,0,1,430,53.0,3,0
0.174,0.938,1,8.1,1,2,398,70.2,3,0
0.599,0.969,0,16.4,0,0,278,45.9,1,0
0.003,0.804,2,18.0,0,0,404,79.9,2,0
0.386,0.85,7,3.8,0,1,269,76.6,3,0
0.241,0.842,4,38.7,1,2,571,68.8,2,0
0.078,0.469,3,8.4,0,0,373,82.9,3,0
2.645,0.869,3,16.8,0,0,286,72.8,2,0
0.083,0.891,2,21.0,0,1,451,91.7,2,0
2.205,0.595,1,20.1,1,0,394,91.2,1,0
0.164,0.907,0,4.8,0,0,203,75.0,3,0
0.072,0.8,1,17.6,0,0,398,66.3,2,0
0.651,0.771,4,16.4,0,0,227,87.6,1,0
0.596,0.947,3,18.5,0,0,444,66.2,1,0
0.773,0.571,1,19.4,0,1,216,64.8,2,0
0.119,0.869,1,10.3,0,0,261,69.5,2,0
1.187,0.676,3,3.6,0,2,193,58.8,1,0
0.283,0.846,1,5.8,1,1,451,78.0,2,0
0.373,0.945,1,60.0,0,2,324,54.1,1,0
0.537,0.921,4,0.9,0,3,454,91.0,3,0
1.208,0.862,1,18.2,0,1,325,64.4,3,0
0.041,0.746,3,17.1,0,0,344,84.2,2,0
0.457,0.729,2,60.0,0,2,337,77.7,3,0
0.131,0.838,0,28.2,1,0,226,75.4,3,0
1.543,0.746,1,60.0,1,0,322,58.7,2,0
0.007,0.7,3,23.6,0,3,366,88.9,1,0
0.573,0.768,2,15.1,0,0,373,86.9,2,0
0.047,0.535,2,0.5,0,0,322,85.8,1,0
0.003,0.507,3,35.4,0,2,280,96.3,1,0
0.186,0.945,1,3.6,0,1,529,51.0,1,0
0.812,0.799,1,30.6,0,2,309,84.7,3,0
0.175,0.91,1,0.5,0,2,287,73.6,1,0
1.617,0.728,3,9.8,0,1,295,60.5,3,0
0.477,0.928,1,7.0,0,1,361,68.5,2,0
1.058,0.871,2,37.9,0,1,334,82.3,3,0
0.535,0.943,1,21.5,0,3,345,88.2,3,0
0.646,0.956,1,22.6,0,3,295,73.3,3,0
0.174,0.802,3,5.9,0,2,326,73.3,1,0
0.46,0.894,1,10.5,0,1,361,86.5,2,0
2.411,0.712,1,5.7,0,0,397,78.0,2,0
0.241,0.89,2,14.0,0,0,315,60.4,3,0
0.149,0.639,1,5.4,0,3,492,94.5,1,0
0.224,0.685,0,3.3,0,0,276,83.3,2,0
0.636,0.612,0,27.7,0,1,250,91.9,3,0
0.064,0.632,1,25.6,1,0,442,96.2,3,0
0.897,0.82,2,22.7,0,0,457,58.8,2,0
0.107,0.805,1,1.4,0,1,463,88.5,2,0
0.445,0.715,1,1.6,0,1,323,95.9,1,0
0.064,0.682,1,15.8,1,1,110,81.1,1,0
0.209,0.499,2,52.0,1,0,338,62.5,2,0
0.136,0.883,2,33.1,0,0,301,39.0,1,0
0.545,0.72,2,13.0,0,0,301,69.6,2,0
0.447,0.664,0,4.4,1,2,292,72.0,3,0
0.171,0.756,2,13.6,0,1,396,87.9,2,0
0.972,0.842,1,1.5,0,0,335,33.1,2,0
1.698,0.811,3,17.4,0,0,371,75.7,3,0
0.421,0.756,1,2.9,0,3,346,87.2,2,0
0.03,0.665,3,22.7,0,2,393,43.1,1,0
0.612,0.532,0,5.8,1,0,469,66.9,1,0
2.596,0.914,1,19.5,1,0,504,43.9,2,0
1.307,0.732,4,4.2,0,1,277,59.8,2,0
0.098,0.75,4,13.6,0,0,468,87.5,2,0
0.164,0.959,1,4.4,0,1,336,67.1,1,0
0.221,0.758,1,7.0,0,5,612,80.7,1,0
0.216,0.8,1,8.0,0,0,226,87.9,3,0
0.24,0.903,3,4.8,0,0,572,89.9,3,0
0.578,0.923,2,46.6,0,0,322,85.2,3,0
0.081,0.779,1,0.5,0,2,287,92.6,2,0
0.194,0.831,4,6.7,1,0,334,86.9,3,0
0.556,0.892,2,22.3,0,0,355,85.6,1,0
0.027,0.742,1,2.9,0,2,437,49.8,1,0
0.449,0.912,2,23.9,0,1,345,49.6,1,0
0.461,0.873,1,1.9,0,2,331,79.7,1,0
0.096,0.903,1,22.9,1,0,494,89.6,1,0
1.105,0.712,3,5.0,1,0,367,72.2,1,0
0.537,0.685,3,2.3,0,2,413,86.3,3,0
0.06,0.677,1,24.3,1,1,375,60.3,1,0
0.277,0.88,3,14.4,0,1,477,81.7,1,0
1.839,0.9,2,9.9,0,1,346,63.7,2,0
1.799,0.832,3,10.0,0,1,421,69.1,3,0
1.275,0.746,0,18.2,0,1,382,92.0,3,0
0.861,0.758,2,30.2,1,0,488,57.3,3,0
0.161,0.787,0,31.4,0,3,377,92.2,2,0
0.943,0.755,5,5.9,2,1,315,82.1,3,0
0.371,0.646,1,47.4,2,1,291,58.8,2,0
0.953,0.826,1,14.2,0,0,216,72.1,1,0
0.819,0.821,3,6.8,1,2,560,95.5,2,0
0.87,0.77,2,24.7,0,1,345,50.9,2,0
0.022,0.748,2,8.6,0,1,532,54.1,3,0
0.677,0.732,1,29.1,0,3,252,63.0,1,0
0.422,0.835,2,41.4,0,0,284,84.5,1,0
0.057,0.712,4,60.0,0,2,325,71.9,2,0
0.486,0.917,3,49.6,0,3,376,92.3,1,0
3.067,0.901,3,16.8,0,0,455,66.0,1,0
0.172,0.917,3,20.1,0,1,397,88.8,2,0
1.066,0.48,1,0.7,0,0,276,90.0,3,0
0.313,0.819,4,15.4,1,1,414,80.8,2,0
0.557,0.717,0,9.7,1,1,194,78.5,1,0
0.387,0.959,1,4.9,0,1,318,90.1,3,0
0.442,0.873,1,13.6,2,0,346,81.4,3,0
0.443,0.821,0,29.2,0,2,468,81.3,3,0
0.385,0.992,3,60.0,0,0,186,44.6,1,0
0.579,0.954,2,12.0,0,1,287,51.3,3,0
0.731,0.907,3,13.0,0,1,480,23.4,1,0
0.235,0.763,2,60.0,0,2,516,94.5,2,0
0.037,0.824,2,15.1,1,0,396,85.6,1,0
0.126,0.879,3,4.5,0,0,302,17.5,3,0
0.099,0.833,3,6.5,0,1,278,95.7,2,0
0.261,0.763,2,7.5,0,1,390,86.3,2,0
0.658,0.679,2,4.0,0,3,554,76.9,1,0
0.777,0.908,2,14.8,1,2,334,74.3,3,0
0.473,0.972,3,60.0,1,1,501,79.6,2,0
0.088,0.874,0,19.9,0,1,290,75.5,2,0
1.155,0.935,3,2.0,1,0,400,85.8,1,0
0.757,0.925,1,10.2,0,1,360,92.9,3,0
0.683,0.971,0,4.6,0,0,434,88.1,1,0
0.482,0.875,0,32.5,1,1,333,94.5,1,0
0.133,0.958,2,20.7,1,0,404,80.6,1,0
0.711,0.64,2,2.6,0,0,225,89.2,3,0
0.779,0.926,2,24.8,1,0,556,61.3,1,0
0.068,0.748,1,14.0,0,1,527,90.7,2,0
0.216,0.731,0,14.2,0,1,395,59.7,3,0
0.096,0.938,3,0.5,1,2,352,68.2,3,0
0.003,0.923,2,34.6,0,0,262,76.3,3,0
0.06,0.721,1,5.4,0,2,346,81.9,2,0
0.036,0.686,0,48.0,0,0,319,79.1,1,0
0.201,0.841,0,26.7,0,1,293,53.0,3,0
0.192,0.751,2,0.9,1,1,457,86.6,2,0
0.269,0.698,0,14.6,0,2,266,68.8,2,0
0.375,0.901,2,10.4,1,0,344,58.9,3,0
0.025,0.759,3,31.0,0,4,38,41.1,2,0
0.397,0.653,0,22.5,1,3,550,62.1,2,0
0.71,0.783,3,20.5,0,1,375,81.7,1,0
0.514,0.737,0,29.0,0,2,390,82.0,1,0
0.026,0.89,1,15.1,0,3,508,42.7,1,0
0.554,0.76,2,4.5,0,0,282,42.7,2,0
0.129,0.859,3,30.9,1,3,110,81.8,1,0
0.114,0.871,0,4.9,0,3,231,65.4,3,0
0.044,0.87,3,22.2,1,0,290,62.2,1,0
0.678,0.917,3,15.6,0,2,358,75.7,1,0
0.676,0.936,2,1.6,2,3,359,83.6,1,0
0.288,0.729,0,3.0,0,2,390,54.3,3,0
0.055,0.915,1,8.0,0,2,355,66.1,2,0
0.193,0.448,2,11.0,0,2,313,80.6,3,0
0.042,0.858,1,26.6,0,0,418,90.7,1,0
1.279,0.661,2,10.4,0,0,407,76.9,3,0
1.363,0.801,3,13.9,1,1,261,50.4,2,0
0.822,0.862,1,10.3,1,1,383,69.7,1,0
0.069,0.901,4,44.5,1,1,235,88.3,3,0
0.088,0.794,3,13.6,0,0,164,43.1,3,0
0.59,0.768,3,17.1,0,1,519,69.4,2,0
0.3,0.796,2,16.3,0,2,462,80.0,1,0
0.098,0.836,4,7.7,1,1,251,87.4,2,0
0.147,0.528,0,9.4,1,1,385,93.1,2,0
0.388,0.903,1,2.2,1,0,437,72.9,3,0
0.228,0.645,6,3.0,0,1,155,90.5,1,0
0.366,0.763,2,19.3,0,1,244,71.6,3,0
0.907,0.882,2,26.7,1,3,351,34.2,2,0
0.0,0.802,1,11.8,1,1,428,65.7,2,0
0.032,0.845,1,25.3,1,1,162,64.1,3,0
0.005,0.64,5,13.8,0,0,551,77.9,3,0
0.334,0.461,2,3.8,0,1,358,93.1,2,0
0.823,0.753,0,9.8,0,0,441,78.8,3,0
0.127,0.587,4,31.3,0,0,224,77.1,2,0
0.125,0.857,0,2.8,0,1,426,78.3,1,0
0.208,0.608,1,7.1,0,0,80,81.6,2,0
0.075,0.907,2,7.0,0,0,187,81.3,3,0
0.015,0.784,3,23.0,0,0,374,89.4,2,0
0.478,0.762,2,8.4,0,1,351,97.2,3,0
1.563,0.784,5,11.7,0,1,315,89.4,2,0
1.144,0.727,1,17.7,2,1,260,89.3,1,0
0.011,0.908,1,5.9,0,2,318,64.7,3,0
0.413,0.803,1,5.7,0,0,426,88.0,2,0
0.125,0.965,3,6.8,1,0,287,82.1,1,0
0.024,0.983,1,4.1,0,2,136,93.5,2,0
0.872,0.845,1,1.7,0,1,307,57.2,2,0
0.45,0.847,0,33.0,0,0,112,39.0,3,0
0.661,0.731,2,0.5,0,1,260,82.0,3,0
0.186,0.639,1,11.5,0,1,271,63.5,2,0
1.162,0.652,3,60.0,0,0,373,77.0,3,0
0.43,0.844,3,7.5,0,1,437,50.2,3,0
0.578,0.815,5,1.6,0,0,303,75.0,1,0
0.401,0.625,2,19.6,0,2,241,85.9,1,0
1.255,0.885,0,33.2,0,1,271,58.0,3,0
0.239,0.911,2,41.0,0,2,358,95.5,1,0
1.122,0.571,1,10.4,0,1,450,50.3,1,0
0.462,0.495,3,23.0,0,1,497,75.1,2,0
0.963,0.847,3,2.8,0,1,473,98.7,1,0
0.639,0.835,2,0.9,0,1,412,54.8,3,0
0.29,0.893,1,6.3,0,0,285,94.9,2,0
0.054,0.813,0,2.9,0,1,404,77.2,2,0
0.245,0.96,4,10.3,1,1,428,98.2,2,0
1.534,0.828,2,18.0,0,1,361,64.8,3,0
0.779,0.867,2,31.6,1,1,277,51.4,1,0
0.039,0.976,0,27.9,0,1,323,70.7,2,0
0.023,0.861,2,15.9,0,1,391,75.9,1,0
0.037,0.927,4,44.7,1,0,36,68.7,1,0
0.029,0.688,0,33.3,0,1,301,75.3,2,0
1.601,0.81,1,3.7,0,1,277,88.0,1,0
0.697,0.704,1,34.9,0,2,461,77.1,2,0
1.512,0.72,1,5.5,0,0,493,92.6,3,0
0.097,0.849,1,5.6,0,2,355,90.5,3,0
0.35,0.957,3,16.4,0,0,409,92.5,2,0
0.474,0.871,3,15.2,0,0,183,71.9,2,0
1.711,0.875,2,7.8,1,0,227,53.6,1,0
0.344,0.929,1,2.7,0,1,407,55.9,3,0
0.083,0.902,4,7.1,1,1,148,70.4,1,0
0.722,0.662,2,60.0,0,2,415,92.5,1,0
0.037,0.832,3,3.7,2,0,365,91.2,3,0
0.125,0.559,2,8.3,1,1,280,65.0,3,0
1.089,0.922,1,2.1,1,1,404,59.7,2,0
1.571,0.793,1,21.1,0,0,412,86.9,1,0
1.838,0.791,1,13.3,1,1,305,88.1,1,0
0.115,0.916,1,17.2,0,2,414,82.2,1,0
0.389,0.777,0,38.3,0,2,335,70.2,2,0
0.294,0.637,1,11.0,0,1,338,64.9,1,0
0.592,0.749,1,9.4,1,1,344,78.4,1,0
0.332,0.844,3,42.9,0,0,219,93.7,3,0
0.43,0.834,1,20.8,0,1,496,76.4,1,0
0.397,0.853,1,12.1,0,1,342,64.8,1,0
0.103,0.805,2,1.3,0,1,356,74.2,3,0
0.955,0.973,3,27.7,0,0,402,60.6,1,0
0.041,0.844,0,6.4,0,1,265,87.2,3,0
0.115,0.972,2,5.5,1,2,415,86.6,1,0
0.254,0.754,1,14.6,0,2,297,85.9,3,0
0.104,0.744,2,7.0,0,0,228,71.3,2,0
0.196,0.699,0,24.3,0,0,340,69.9,2,0
1.638,0.869,1,10.8,0,1,409,75.1,3,0
0.019,0.877,3,60.0,2,0,220,93.1,3,0
0.714,0.745,2,5.3,1,1,302,62.9,1,0
0.119,0.948,1,1.2,2,2,276,84.8,2,0
0.164,0.806,1,16.1,0,1,438,89.7,2,0
0.623,0.802,1,56.2,0,0,402,60.5,3,0
0.021,0.735,5,55.6,0,0,301,64.5,1,0
0.132,0.786,2,48.1,0,1,388,65.5,3,0
0.064,0.827,1,5.7,0,0,357,83.4,3,0
0.407,0.974,1,13.7,1,0,275,93.0,3,0
0.929,0.871,4,0.8,0,1,339,52.7,3,0
0.718,0.894,2,12.6,0,1,205,87.8,1,0
0.178,0.622,3,31.9,2,1,287,46.3,1,0
1.069,0.751,2,16.0,0,0,435,65.5,1,0
0.313,0.768,3,4.9,0,1,291,50.3,3,0
1.259,0.509,3,8.6,0,1,206,69.2,1,0
0.041,0.868,2,43.7,0,0,328,61.7,1,0
0.922,0.875,2,3.4,0,0,325,55.4,1,0
0.204,0.966,3,18.4,0,0,435,53.8,2,0
0.498,0.653,0,13.5,0,0,386,66.2,2,0
0.599,0.87,2,3.9,0,3,447,83.2,1,0
0.111,0.767,2,3.4,1,0,460,86.8,1,0
0.322,0.808,4,14.0,0,2,316,66.8,2,0
0.321,0.922,3,24.4,0,1,453,57.3,3,0
0.394,0.561,4,9.1,1,2,272,86.3,1,0
0.559,0.972,3,31.0,0,0,414,56.8,2,0
0.304,0.665,3,23.3,0,0,335,73.1,3,0
0.002,0.714,1,18.4,2,0,334,92.9,3,0
0.183,0.904,2,60.0,0,2,463,60.1,1,0
2.33,0.708,3,3.1,1,0,355,67.2,3,0
0.222,0.84,2,18.7,0,0,213,82.2,3,0
0.616,0.811,4,0.5,0,1,375,81.0,3,0
0.804,0.772,2,18.8,1,0,406,91.5,1,0
0.363,0.741,0,10.4,1,0,321,53.8,3,0
0.055,0.904,3,33.1,1,1,568,89.0,3,0
1.423,0.593,3,20.7,0,0,565,94.9,2,0
0.207,0.692,3,5.0,0,1,422,48.9,1,0
0.433,0.937,0,4.8,0,1,426,85.5,1,0
0.117,0.676,2,60.0,0,1,298,71.0,1,0
1.517,0.977,3,20.3,0,3,248,86.9,3,0
0.455,0.638,0,38.7,0,3,350,41.9,2,0
0.302,0.656,2,32.7,1,1,434,63.1,2,0
0.433,0.719,0,3.1,0,1,465,58.4,1,0
0.934,0.892,0,5.2,1,1,379,91.5,1,0
0.094,0.832,3,3.5,0,3,378,87.8,3,0
0.703,0.925,1,43.1,1,2,381,87.9,2,0
0.021,0.64,2,22.1,0,1,345,79.0,1,0
0.33,0.864,4,45.3,0,0,334,68.4,1,0
0.574,0.832,3,8.8,0,0,248,72.0,2,0
0.328,0.866,2,0.8,0,3,293,52.7,2,0
0.813,0.853,1,22.0,1,0,297,83.9,2,0
1.014,0.955,1,20.3,2,1,390,75.6,3,0
0.988,0.745,2,25.9,1,1,333,67.1,1,0
0.23,0.839,1,15.4,0,0,411,77.1,2,0
0.603,0.8,0,23.1,0,1,575,42.9,1,0
0.01,0.967,3,12.9,2,1,453,80.7,3,0
0.043,0.682,4,4.1,0,2,342,62.9,2,0
0.337,0.815,2,12.0,0,1,352,34.2,2,0
0.24,0.856,0,6.3,1,1,392,87.6,3,0
0.082,0.873,1,9.1,1,2,432,77.9,3,0
0.155,0.856,2,23.6,0,2,216,42.8,3,0
0.424,0.712,3,34.7,1,1,309,41.6,3,0
0.04,0.843,3,28.2,0,0,264,87.2,1,0
0.833,0.862,2,33.3,0,0,377,52.5,3,0
0.288,0.693,1,22.3,0,1,193,87.8,1,0
0.563,0.904,2,25.5,0,0,350,80.6,1,0
0.993,0.967,3,23.9,0,1,226,33.9,1,0
0.118,0.868,1,26.5,0,0,144,91.4,1,0
0.544,0.451,0,44.5,0,1,296,83.2,1,0
0.093,0.937,2,43.8,2,0,365,62.1,1,0
0.067,0.924,3,45.3,3,1,246,93.0,3,0
0.149,0.942,4,14.6,0,1,404,68.1,1,0
0.045,0.634,2,27.9,0,1,387,61.6,2,0
0.387,0.979,1,4.7,1,2,301,78.8,2,0
0.888,0.875,1,1.0,1,1,491,87.9,1,0
0.134,0.547,2,17.8,0,0,67,64.9,2,0
1.009,0.79,1,55.4,1,0,341,91.9,3,0
0.065,0.785,3,35.1,0,1,470,52.0,3,0
0.036,0.67,2,11.8,0,0,296,92.5,1,0
0.135,0.526,4,0.5,0,2,242,94.7,2,0
1.587,0.521,3,18.0,0,1,485,95.2,3,0
0.427,0.975,1,33.5,2,3,322,46.2,2,0
0.455,0.944,4,6.6,0,0,313,79.6,1,0
0.87,0.632,2,28.7,2,0,495,85.4,2,0
0.466,0.79,0,3.6,0,0,463,90.6,2,0
0.453,0.949,3,0.8,0,2,294,62.1,2,0
0.013,0.882,1,0.6,0,1,156,76.0,1,0
0.727,0.809,2,60.0,0,0,236,73.7,2,0
0.233,0.824,2,34.4,0,1,266,59.5,1,0
0.483,0.96,0,2.3,0,2,448,64.6,2,0
0.435,0.407,3,33.1,0,2,382,65.4,2,0
1.251,0.844,0,26.2,0,1,457,43.7,3,0
0.637,0.752,3,5.9,0,0,546,59.2,1,0
0.022,0.678,2,4.8,0,2,241,39.4,1,0
0.427,0.831,2,7.9,0,0,395,78.2,3,0
0.037,0.716,1,10.1,0,0,319,85.5,2,0
0.22,0.771,1,2.2,0,1,311,74.9,3,0
0.418,0.578,1,52.4,0,1,292,88.7,1,0
0.261,0.924,0,46.9,0,1,531,60.9,2,0
0.155,0.925,3,21.3,0,2,384,85.6,1,0
0.066,0.776,3,9.5,0,0,539,78.0,1,0
0.003,0.891,2,38.2,0,1,324,77.0,2,0
0.398,0.751,2,2.6,0,0,144,83.5,1,0
1.024,0.926,4,36.7,1,4,297,80.0,2,0
0.128,0.981,3,19.8,0,0,393,74.0,1,0
0.032,0.77,4,29.7,0,0,344,89.0,1,0
0.022,0.68,2,45.7,0,2,400,63.5,1,0
0.483,0.666,2,11.6,1,0,313,73.1,3,0
0.313,0.67,2,12.7,0,3,506,91.9,3,0
0.122,0.734,1,5.2,0,0,505,89.3,1,0
0.095,0.908,4,2.1,0,2,527,95.9,1,0
0.535,0.623,2,6.1,2,2,311,67.0,1,0
0.565,0.967,4,41.5,0,1,340,72.6,2,0
1.017,0.802,0,28.1,0,1,259,57.2,3,0
0.002,0.81,0,47.0,2,0,490,93.1,1,0
0.619,0.796,2,3.7,0,0,363,94.5,1,0
1.165,0.726,2,0.5,0,0,372,82.0,1,0
0.824,0.808,5,4.7,0,2,459,85.0,1,0
0.872,0.599,3,3.3,0,0,368,64.8,2,0
0.302,0.84,3,0.5,0,0,317,51.7,1,0
0.021,0.806,5,24.5,0,0,289,80.1,1,0
0.153,0.87,5,16.1,0,1,545,82.6,3,0
0.02,0.938,2,13.0,1,1,236,59.7,1,0
0.401,0.918,3,24.3,1,2,465,70.8,2,0
0.56,0.788,1,30.8,0,3,280,81.2,2,0
1.873,0.873,0,10.7,0,2,405,97.9,3,0
0.591,0.981,2,8.9,0,0,130,60.6,1,0
1.108,0.691,6,19.0,0,0,425,87.0,1,0
0.046,0.624,2,43.0,0,0,154,75.3,2,0
0.885,0.927,1,39.4,0,2,352,86.4,1,0
0.141,0.976,5,20.1,0,1,378,83.7,3,0
0.092,0.792,5,22.1,0,2,292,78.2,2,0
2.406,0.939,3,12.7,0,3,382,73.8,3,0
0.199,0.842,2,26.9,1,0,343,85.2,3,0
0.185,0.755,1,26.7,0,0,257,79.7,2,0
0.833,0.907,2,27.8,0,0,533,66.9,1,0
0.45,0.944,3,8.3,1,1,180,80.5,2,0
0.057,0.801,0,1.9,1,1,506,68.2,3,0
0.349,0.77,2,60.0,0,0,188,53.8,3,0
0.964,0.718,3,19.1,0,2,433,82.7,2,0
0.44,0.951,2,25.1,0,1,243,91.6,3,0
0.766,0.665,1,10.6,0,1,299,72.2,3,0
0.011,0.856,2,4.6,0,0,194,62.4,1,0
0.703,0.889,4,29.3,0,1,267,65.7,3,0
0.843,0.764,2,20.2,0,1,190,58.6,3,0
0.161,0.907,3,17.3,0,1,415,86.8,3,0
0.302,0.879,3,7.8,0,2,220,91.1,2,0
0.471,0.889,4,19.7,1,0,363,75.4,1,0
0.589,0.963,2,11.3,0,1,390,60.1,2,0
0.324,0.858,1,8.1,0,0,385,84.9,2,0
1.683,0.611,2,20.1,0,1,526,57.8,1,0
0.384,0.789,1,21.6,0,0,433,94.9,3,0
0.323,0.955,4,0.7,1,0,285,82.7,1,0
0.578,0.759,4,13.2,0,0,243,38.9,1,0
0.486,0.625,0,24.5,0,0,228,81.9,1,0
3.058,0.677,0,5.7,1,1,407,78.4,2,0
0.025,0.845,0,17.2,0,0,520,88.6,1,0
0.046,0.774,1,1.8,0,0,441,84.1,2,0
0.7,0.909,0,15.2,0,0,519,71.1,1,0
0.033,0.887,1,11.1,0,0,365,53.1,2,0
0.335,0.851,0,4.5,0,0,254,71.0,3,0
1.481,0.909,5,21.5,0,1,456,79.9,3,0
0.036,0.937,1,13.5,2,2,233,60.5,1,0
0.253,0.949,1,14.3,0,2,233,49.8,3,0
0.239,0.721,1,0.5,0,2,298,59.5,3,0
0.866,0.803,3,17.7,0,0,539,85.3,3,0
0.148,0.905,0,0.5,1,0,158,81.6,1,0
1.116,0.659,3,0.5,0,0,498,65.8,1,0
0.422,0.488,2,2.1,0,0,366,83.5,2,0
2.778,0.678,0,6.9,0,1,502,87.9,3,1
0.285,0.886,1,22.2,0,1,325,92.3,3,0
0.078,0.743,5,2.7,0,3,189,69.6,2,0
0.287,0.682,0,60.0,1,1,333,49.9,2,0
0.637,0.809,2,19.3,0,1,246,72.4,3,0
0.044,0.548,3,30.6,0,1,424,82.7,2,0
0.206,0.753,5,5.2,1,1,354,77.1,2,0
1.64,0.702,5,17.3,0,1,174,92.9,2,0
1.156,0.909,1,28.8,0,2,195,46.4,3,0
1.725,0.799,2,13.4,0,1,317,80.0,3,0
1.234,0.883,2,37.3,0,0,272,70.8,2,0
1.366,0.795,1,13.0,0,1,451,64.7,2,0
0.526,0.746,4,11.0,1,0,366,95.5,2,0
0.045,0.848,5,4.2,0,0,260,78.0,1,0
0.253,0.694,7,42.0,1,0,497,79.6,3,0
2.366,0.929,1,19.2,1,0,303,79.9,2,0
0.266,0.695,1,14.3,1,1,138,77.9,3,0
0.373,0.763,2,10.1,0,2,419,85.2,2,0
0.124,0.779,1,13.2,0,0,237,93.6,3,0
0.163,0.783,1,35.3,0,1,272,84.5,1,0
0.628,0.904,3,1.5,0,0,554,71.3,1,0
1.107,0.727,0,9.6,1,2,422,87.6,3,0
